,0,1,2,3,4,5,6,7,8,9
50.0,6.800968648645883e-57,1.626707776499738e-45,1.680362351873344e-51,3.2428515467029005e-62,3.795184351575157e-68,9.59903896135025e-38,2.160430271486694e-56,1.1299079446690474e-43,1.3685534745374458e-73,1.0208393240963824e-46
50.25125628140704,5.414017009479411e-56,6.481364056660405e-45,6.697184247177515e-51,1.2937315763193175e-61,3.0239213840201524e-67,3.0341412149715415e-36,1.7209158036484273e-55,3.5795483687115416e-42,8.683127196144347e-72,4.066758282985588e-46
50.50251256281407,1.7182145580001876e-54,2.053662858660491e-43,1.063784628247327e-49,4.1126687053270745e-60,3.83410409445574e-65,6.053261928878867e-36,1.7209158036484273e-55,5.680996360524823e-41,1.1001484349994439e-69,6.45369640989713e-45
50.753768844221106,1.3677216215842025e-53,1.6331509399823904e-42,4.239608810387158e-49,1.3073268372583464e-58,1.2185669611766816e-63,9.589087879395207e-35,2.1805860335610806e-53,9.015544529777886e-40,1.3937364337822868e-67,2.043936114015157e-43
51.00502512562814,1.0886972774146039e-52,1.0326990374978468e-40,3.373051405187145e-48,1.0416724385524447e-57,4.860913686228077e-63,7.613591579429579e-34,6.927164004289385e-52,1.7994064236024857e-39,8.840625059084799e-66,1.6249504573792014e-42
51.256281407035175,4.340175723384394e-52,4.114106064536877e-40,1.3442510572421697e-47,8.299867258385699e-57,1.9390238110997714e-62,3.0300556386820747e-33,5.517389777940593e-51,3.591407882498788e-39,8.840625059084799e-66,6.472606005962342e-42
51.50753768844221,1.730224934844149e-51,8.211522043619244e-40,5.357126209637926e-47,8.299867258385699e-57,6.162142888387593e-61,1.5188730676134764e-33,8.775895270324332e-50,2.855354390704191e-38,7.040784800419104e-65,5.145449816504518e-41
51.75879396984924,2.749654761319891e-50,6.52916142980457e-39,2.1348992761228692e-46,1.3208294813344887e-55,1.958211066001894e-59,3.0300556386820747e-33,1.752582635345836e-49,1.1374025788697193e-37,8.917481673948233e-63,1.0269142974165465e-40
52.01005025125628,4.3695194030226295e-49,1.303161872288192e-38,3.390394977053227e-45,5.2690193653235085e-55,6.2225165047032245e-58,2.4055873192379515e-32,1.1116826387402563e-47,7.188384298456626e-36,3.556167198654925e-62,4.0902518625913295e-40
52.26130653266332,3.477658593364586e-48,8.237692097611915e-37,2.1454266751604357e-43,1.052374017063257e-54,1.2427529446805314e-57,1.9097041020241948e-31,3.530797116285944e-46,7.188384298456626e-36,2.831943193814698e-61,3.251315097583235e-39
52.51256281407035,1.1032737210481248e-46,8.237692097611915e-37,1.706570896066897e-42,4.198057220241471e-54,1.2427529446805314e-57,7.5994410657870025e-31,1.4080648740851174e-45,2.86322142520804e-35,5.655226010889902e-61,1.29495633436934e-38
52.76381909547739,3.499829415102662e-45,3.281404321040431e-36,1.357440361604356e-41,2.123050190945005e-51,1.9772024314241243e-56,1.2033104609867917e-29,5.615243606623429e-45,2.2760183871568994e-34,2.2551621029643652e-60,1.0292814218987268e-37
53.015075376884425,5.560499554082549e-44,6.549136124076526e-36,2.7096698197092717e-41,1.6914121245377037e-50,1.575040577100464e-55,1.9051365623162608e-28,2.239291086762555e-44,1.809167707317894e-33,8.992935206291078e-60,1.6325918310982404e-36
53.266331658291456,1.763668853273731e-42,2.608716435227143e-35,1.0796992050841559e-40,1.0735078835847054e-48,9.994226182545875e-54,1.5120131446954451e-27,2.239291086762555e-44,5.727219317243255e-32,5.702269177338836e-58,1.2975183985147588e-35
