,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50.0,3.2199623793956155e-77,5.550440032943574e-67,0.0,8.740103019851898e-34,2.3096113585819988e-95,1.987420147282867e-96,8.487114212612951e-76,2.4323615392495726e-144,7.387186066096027e-27,2.325119280908138e-43,8.490733789745676e-66,2.5808599761921126e-43,3.604253176238918e-28,2.0061761770667115e-38,2.025340162452859e-42,2.5472992564915698e-70,5.433825025553678e-22,1.9359021411217344e-61,2.191603860698709e-87,2.6126706081567133e-46
50.25125628140704,5.4528465573765773e-76,1.370848559903831e-65,1.3462806643645763e-147,2.3017121433943274e-33,2.8555496838861157e-94,1.9540219726569568e-95,3.5576141300786705e-75,8.088820535475398e-143,1.6980207401247898e-26,7.115581351078783e-43,9.82479976440906e-65,3.33240851631835e-42,7.890336709394604e-28,6.684380619076192e-38,6.105591248971054e-42,9.568382777533767e-70,8.804240229581131e-22,1.4291112078812046e-60,2.3115506104153216e-86,6.775240294459865e-46
50.50251256281407,8.940631885605647e-75,3.22775956657216e-64,2.8271893951656103e-146,5.958817384986658e-33,3.4714269027727616e-93,1.882632365501116e-94,1.4981694557742564e-74,2.5984649833406623e-141,3.844792383653943e-26,2.2024432175455196e-42,1.0686725514170287e-63,4.013451872157512e-41,1.6888444274263192e-27,2.193656260411764e-37,1.820908320666182e-41,3.498907586181532e-69,1.4161376713826734e-21,9.885113746921038e-60,2.416247038111919e-85,1.7398735629279856e-45
50.753768844221106,1.4217695987833862e-73,7.248020450048038e-63,4.550428645552268e-145,1.5167341071562477e-32,4.138008346131244e-92,1.7803939072912139e-93,6.354942187413341e-74,8.070488380945264e-140,8.586420625014222e-26,6.911965938318643e-42,1.0937562936971458e-62,4.514168815130806e-40,3.533164479138195e-27,7.091094098219295e-37,5.374193441771451e-41,1.2472695157549892e-68,2.260934228338784e-21,6.402649390936064e-59,2.495215485490091e-84,4.4239866318758786e-45
51.00502512562814,2.1959111264202475e-72,1.5528537759893339e-61,7.143365205118442e-144,3.7972307164634e-32,4.824659332831255e-91,1.6554167269430987e-92,2.719774970223232e-73,2.426762612011382e-138,1.8910620897392906e-25,2.2030587081333625e-41,1.0543126193827103e-61,4.746833210946796e-39,7.223852584420423e-27,2.2585812819698702e-36,1.5696344350702603e-40,4.340286687829837e-68,3.580339005232828e-21,3.88285116004458e-58,2.5383122973940957e-83,1.1136378463654435e-44
51.256281407035175,3.29698527715111e-71,3.175667683821319e-60,1.1185842156005955e-142,9.355660850959652e-32,5.49189380235381e-90,1.5159545144109362e-91,1.1749381586319034e-72,7.074725023136229e-137,4.1025065102982993e-25,7.137731715335868e-41,9.581129995880715e-61,4.6709547624909616e-38,1.4436005502486707e-26,7.092016095616073e-36,4.535689668006882e-40,1.4763924504447425e-67,5.6172931035714076e-21,2.2054581038246797e-57,2.5371482251167826e-82,2.774873928931458e-44
51.50753768844221,4.81325627625189e-70,6.202038696109926e-59,1.7465770257034178e-141,2.269976260400852e-31,6.096524887009386e-89,1.3696523290863896e-90,5.119736368802452e-72,2.0017861701336282e-135,8.751941501078954e-25,2.351038955051843e-40,8.216695398560514e-60,4.30478043979971e-37,2.8205435454368744e-26,2.1969144973379117e-35,1.2962696002200077e-39,4.9159131905789407e-67,8.720217855682202e-21,1.1741290605450818e-56,2.486457139316542e-81,6.843375065894372e-44
51.75879396984924,6.828940028817525e-69,1.1572353728440131e-57,2.721591178694846e-140,5.427771199926744e-31,6.598245534650779e-88,1.222973895987789e-89,2.2466317925336308e-71,5.500593763907347e-134,1.83275803549923e-24,7.868233283851434e-40,6.656645588153244e-59,3.718664233146034e-36,5.390753985889139e-26,6.718900899739747e-35,3.662607029285426e-39,1.6044187317243235e-66,1.3376809346520346e-20,5.864883151160753e-56,2.38509109193656e-80,1.6704014707153403e-43
52.01005025125628,9.403939132724376e-68,2.0638303376680718e-56,4.240203213030162e-139,1.2799564967682593e-30,6.965830879116875e-87,1.0808817362748785e-88,9.905936095483596e-71,1.4679908609557996e-132,3.761863584711473e-24,2.6723139827618533e-39,5.099723974515414e-58,3.0134151713439335e-35,1.0085672316510965e-25,2.030311516967606e-34,1.02278644708986e-38,5.139643704910631e-66,2.02529581783588e-20,2.75241442798588e-55,2.23638682435085e-79,4.03583425289915e-43
52.26130653266332,1.2545689041636427e-66,3.519240854017066e-55,6.622624764998198e-138,2.978895226678066e-30,7.181254487718316e-86,9.467820145179506e-88,4.3769429765142135e-70,3.80366755758015e-131,7.560308875084957e-24,9.194278562443677e-39,3.698594911226036e-57,2.2925966402571497e-34,1.8487888332897095e-25,6.0663052296565444e-34,2.8221397944730487e-38,1.6182294568068612e-65,3.023572187079198e-20,1.2155543320837552e-54,2.0478030432478547e-78,9.653576643945435e-43
52.51256281407035,1.6178024050825988e-65,5.739621777510075e-54,1.040143046773763e-136,6.846986672224117e-30,7.240800131392016e-85,8.226853006603326e-87,1.9321519920037563e-69,9.561648763554228e-130,1.4868219682160717e-23,3.197276737023299e-38,2.5421557809374307e-56,1.6390066916914387e-33,3.3240322633135687e-25,1.793328562322917e-33,7.693468683055001e-38,5.014531456945787e-65,4.44791987547421e-20,5.0609494335977146e-54,1.829914391746748e-77,2.2866619064532453e-42
52.76381909547739,2.0116936768090446e-64,8.955564752102853e-53,1.647866151185653e-135,1.5552788619404074e-29,7.1533151397042075e-84,7.094980009748366e-86,8.493396404692306e-69,2.329660462005186e-128,2.860795573965919e-23,1.1207562457054535e-37,1.6577900382845273e-55,1.102145632250863e-32,5.869353943820593e-25,5.247951293075527e-33,2.072130196598784e-37,1.531437694328889e-64,6.445278916102146e-20,1.9904834174174253e-53,1.594999997013143e-76,5.365582630563467e-42
53.015075376884425,2.4065947385273655e-63,1.337137024758268e-51,2.6404614988603396e-134,3.4933815896193934e-29,6.936589853522931e-83,6.073545777098784e-85,3.7052131418523807e-68,5.4957423967383176e-127,5.386356319081647e-23,3.9483158050447465e-37,1.0268697247577777e-54,6.978407148052624e-32,1.0193114232254167e-24,1.5207834425902213e-32,5.514469193900509e-37,4.615828483286901e-64,9.199295461070654e-20,7.411237287046797e-53,1.3555329820731848e-75,1.24764403483471e-41
53.266331658291456,2.7641549905400027e-62,1.9107973450915737e-50,4.287251839795806e-133,7.763653710137091e-29,6.613164296019371e-82,5.159203952369032e-84,1.5987453293988877e-67,1.2540990003249883e-125,9.928183271059015e-23,1.393454892062399e-36,6.048747035447258e-54,4.164994519371447e-31,1.744089143923828e-24,4.3648929435859396e-32,1.4502671008446779e-36,1.3749680982528105e-63,1.2936230748063687e-19,2.6182553872251262e-52,1.1228515536662533e-74,2.875980922235307e-41
53.517587939698494,3.0430737663129987e-61,2.6138451136216838e-49,7.05929053566249e-132,1.7081165638090866e-28,6.206671318025456e-81,4.346251988830448e-83,6.801753665227444e-67,2.766560847320281e-124,1.792622328284544e-22,4.910399307615911e-36,3.3923005146479584e-53,2.3459235088960418e-30,2.946207076855009e-24,1.2408411221071073e-31,3.769868670161198e-36,4.053649368651146e-63,1.7932354679077908e-19,8.79697410143219e-52,9.061985424755278e-74,6.57449334641501e-41
53.768844221105525,3.207025217548988e-60,3.423212548515614e-48,1.1782568506255224e-130,3.7226407595823714e-28,5.7393480594784066e-80,3.6281579602264295e-82,2.8454100830770963e-66,5.898787688800178e-123,3.173305793219893e-22,1.7220187478278303e-35,1.813530673333002e-52,1.2484249017283748e-29,4.92543051379927e-24,3.49327183894291e-31,9.687540442070636e-36,1.1844787992331894e-62,2.452400133935086e-19,2.8175557232622353e-51,7.121997471998803e-73,1.4909762666003964e-40
54.02010050251256,3.232633867270088e-59,4.2927292588991454e-47,1.9902620795738525e-129,8.0412980833981215e-28,5.230840687761258e-79,2.998368696236315e-81,1.167802716066363e-65,1.215880903256777e-121,5.512924943301204e-22,5.990146237748332e-35,9.253113992371507e-52,6.284399586593509e-29,8.172721436626712e-24,9.73632113630983e-31,2.461367028345864e-35,3.4350767080643114e-62,3.3121891890732646e-19,8.622533582738898e-51,5.447528812904314e-72,3.3554594025688315e-40
54.2713567839196,3.1150222383016832e-58,5.155044399451009e-46,3.393230614001144e-128,1.7227170695336527e-27,4.698057757002882e-78,2.4505940409591436e-80,4.694042704118863e-65,2.4241387830774948e-120,9.41096277907949e-22,2.0604115023103106e-34,4.5115064704892535e-51,2.995760320976611e-28,1.3505741598387928e-23,2.6854684373681716e-30,6.184000737149402e-35,9.89996862017658e-62,4.423170539656703e-19,2.52694850455375e-50,4.05239441529276e-71,7.496118502548852e-40
54.52261306532663,2.869096285232513e-57,5.92901606011704e-45,5.818981988788727e-127,3.6626888740201524e-27,4.155647214617422e-77,1.9787838616122034e-79,1.845723384061171e-64,4.67817364695563e-119,1.580905256920683e-21,6.987283306182436e-34,2.104609132660084e-50,1.3538148258322695e-27,2.2316643123482678e-23,7.326185295353867e-30,1.5365147298138285e-34,2.8386299751237615e-61,5.848316232106998e-19,7.107086753962112e-50,2.929511891828658e-70,1.6628219394856578e-39
54.77386934673367,2.5261521826673417e-56,6.531835717422134e-44,9.997651357832914e-126,7.73363441779479e-27,3.616656306985971e-76,1.5769806611610756e-78,7.094844337467425e-64,8.745616678194868e-118,2.6178590913299763e-21,2.3298295098819158e-33,9.405680377495103e-50,5.805788848387428e-27,3.703673815472839e-23,1.975619222752976e-29,3.7758431341763295e-34,8.104889196253491e-61,7.667006932543711e-19,1.9222421215544394e-49,2.056282839570758e-69,3.663485937453675e-39
55.0251256281407,2.1269573945104563e-55,6.893510527713246e-43,1.7138708346337893e-124,1.622837844178285e-26,3.093029082496196e-75,1.2391715980433993e-77,2.6656077192254153e-63,1.5850503840891475e-116,4.281648976164018e-21,7.619795841167374e-33,4.032160396902149e-49,2.3649781354968638e-26,6.202408128927855e-23,5.262684040249023e-29,9.177706498102073e-34,2.3056999855291421e-60,9.980387552978105e-19,5.009416184384583e-49,1.4002305242923279e-68,8.018464536156347e-39
55.27638190954774,1.7135032819965595e-54,6.970224556139004e-42,2.9197499587723835e-123,3.386813594564499e-26,2.5957494864216138e-74,9.592041502933391e-77,9.791033332108603e-63,2.7872858866594323e-115,6.9316793802711e-21,2.4391449643838456e-32,1.660280670613165e-48,9.158978338651646e-26,1.0527839328172895e-22,1.3838506124659945e-28,2.2066463945789024e-33,6.537066648204743e-60,1.2918333980281527e-18,1.2601742427145677e-48,9.24229620275335e-68,1.7439630242930656e-38
55.527638190954775,1.3217667084269986e-53,6.753053665633422e-41,4.924946069552615e-122,7.034758900779804e-26,2.1346034314618758e-73,7.30784170376829e-76,3.518005532807713e-62,4.759761628020272e-114,1.1132594342560868e-20,7.628078113209463e-32,6.575009586500148e-48,3.37514010989905e-25,1.8177162312197105e-22,3.5896083175294406e-28,5.248710579583051e-33,1.8469313361938736e-59,1.6648292308084567e-18,3.0655766119795585e-48,5.908586568934954e-67,3.7698569499751004e-38
55.778894472361806,9.771256999809875e-53,6.269644525753599e-40,8.1988798695121e-121,1.4553216202356497e-25,1.7176720999517151e-72,5.475476503848514e-75,1.2376136666091724e-61,7.90138189259762e-113,1.777453348278778e-20,2.327143221638696e-31,2.5076428089317596e-47,1.1844562667671867e-24,3.1991588476004624e-22,9.178842541646801e-28,1.2352327766898212e-32,5.198172779873526e-59,2.1386247547287163e-18,7.224212390620207e-48,3.656025151978871e-66,8.100900767045158e-38
