,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50.0,4.658501379188579e-61,6.14232342493725e-72,1.1003283980366378e-88,3.083530652057607e-37,1.5008952634275263e-87,8.100231658513698e-95,4.503992116302896e-67,5.650032240582148e-88,1.376799049534371e-44,4.242352089308288e-51,5.868471339304509e-80,2.2507485581875045e-107,2.4293342184754285e-48,2.2896918539248448e-51,3.565468261452419e-55,2.939131138749951e-71,1.81627152546567e-67,4.428796280230342e-75,3.220848186458538e-89,2.058509851191182e-45
50.25125628140704,4.7414111208066137e-60,1.4381471927738358e-70,3.6800814539769073e-87,1.4796043437452147e-36,7.382859471276062e-86,3.654240533226522e-93,9.86154038451716e-66,2.7039571308516575e-86,9.54426998660769e-44,2.9659447073646014e-50,3.05299197845169e-78,1.7555327804151857e-105,2.5247144805801743e-47,2.4734285933256636e-50,4.0843567837498436e-54,5.446459195248187e-70,3.7413762747359713e-66,9.231802152233344e-74,1.9376707881353943e-87,1.4707618071138366e-44
50.50251256281407,4.774017139536155e-59,3.3093617133024457e-69,1.2079427080574461e-85,7.020383472643891e-36,3.562184204729145e-84,1.620537806995125e-91,2.108126749930802e-64,1.2668442284527742e-84,6.579878869079709e-43,2.041985759958308e-49,1.540131489649577e-76,1.3818329676207772e-103,2.6170960855241925e-46,2.625341552390007e-49,4.59662245328099e-53,9.917248546084847e-69,7.65503904152104e-65,1.8838694223251273e-72,1.1405300604652478e-85,1.0388946538524448e-43
50.753768844221106,4.75862856972953e-58,7.476234394834273e-68,3.8975177054280724e-84,3.2948629680471985e-35,1.6839132506894388e-82,7.063223417665686e-90,4.3976056169727123e-63,5.806277107147422e-83,4.5136634227058105e-42,1.3838545751506093e-48,7.532699122758358e-75,1.0946349298946627e-101,2.70119774300454e-45,2.7375042757972253e-48,5.080452161452215e-52,1.7741413591618168e-67,1.5582496782996218e-63,3.763251993070205e-71,6.565921299516838e-84,7.25360594961352e-43
51.00502512562814,4.698758155775671e-57,1.656484684718167e-66,1.2381182810836372e-82,1.5301589367185787e-34,7.789402214797964e-81,3.025426088848963e-88,8.947385679969089e-62,2.6017902121155867e-81,3.0820337092056066e-41,9.229104084702121e-48,3.5714377656262715e-73,8.702337069555113e-100,2.771464967797616e-44,2.8036494091803267e-47,5.512835513522914e-51,3.1181635740284534e-66,3.1600228807025016e-62,7.359957832223878e-70,3.695288991542163e-82,5.005148224188386e-42
51.256281407035175,4.598765519965688e-56,3.5964230664984637e-65,3.878150025291556e-81,7.034585872126618e-34,3.521527983299736e-79,1.273469288265468e-86,1.7748587352792164e-60,1.1393662040975291e-79,2.09516321707687e-40,6.056330374169874e-47,1.6412811170758533e-71,6.923983330785549e-98,2.8225211639969494e-43,2.819739222898169e-46,5.871373301696074e-50,5.385050473929848e-65,6.390612010557525e-61,1.4095777975449427e-68,2.0320989632345192e-80,3.412696356175951e-41
51.50753768844221,4.463530649363837e-55,7.645250260509556e-64,1.1995119722115323e-79,3.2028963366885953e-33,1.5540648106596544e-77,5.26733533065335e-85,3.4314821020052856e-59,4.874707502145913e-78,1.4179211273608047e-39,3.910683554053903e-46,7.310148262156257e-70,5.4988590849083726e-96,2.8496521913038085e-42,2.7843663002615154e-45,6.136238444523623e-49,9.141441376630393e-64,1.289577358338832e-59,2.644487543234877e-67,1.091355206051348e-78,2.299005301648112e-40
51.75879396984924,4.2981890148525744e-54,1.59020373490531e-62,3.668594649081736e-78,1.4450030803146158e-32,6.686607470694699e-76,2.1407526437548556e-83,6.46463629882895e-58,2.0373173555029534e-76,9.550489579171812e-39,2.4851838110113e-45,3.1552679831012015e-68,4.348033142389124e-94,2.849255824953969e-41,2.698930000314689e-44,6.292046299395902e-48,1.5262417823418291e-62,2.5969342346785304e-58,4.861709923315315e-66,5.7215727640559435e-77,1.5300014842196675e-39
52.01005025125628,4.1079411386150014e-53,3.234419371607038e-61,1.1108896755671884e-76,6.463302780799322e-32,2.8019382159833008e-74,8.548081025889231e-82,1.186505255846708e-56,8.3170407400095135e-75,6.399307237879085e-38,1.5547028433284644e-44,1.3197263909156434e-66,3.415107099885377e-92,2.819186007151538e-40,2.5675600834459247e-43,6.329381494354769e-47,2.5082059062284947e-61,5.217200284019907e-57,8.761785576734638e-65,2.927081278892869e-75,1.0057801428853508e-38
52.26130653266332,3.89793059922936e-52,6.429827084946719e-60,3.33453862447169e-75,2.8678455433492596e-31,1.1423052380457804e-72,3.3529573123222894e-80,2.1212545980564345e-55,3.316572857956781e-73,4.262730896968581e-37,9.578150990123362e-44,5.3486806915689876e-65,2.6587943124727304e-90,2.7589365814650316e-39,2.396790322872392e-42,6.2457635237114666e-46,4.061377516899406e-60,1.044811447636406e-55,1.5484800276778987e-63,1.460886404341878e-73,6.530153526550989e-38
52.51256281407035,3.6731703944683007e-51,1.2487259974421547e-58,9.932539422963563e-74,1.2631132373796818e-30,4.526632303817194e-71,1.291674259347877e-78,3.69362735618092e-54,1.2919860997273384e-71,2.8205828550360986e-36,5.813732410960962e-43,2.1004310154887353e-63,2.0478846940013223e-88,2.669637752957908e-38,2.195017093010082e-41,6.045909374272782e-45,6.4874025457502975e-59,2.0832775002111247e-54,2.6845061825387204e-62,7.112278212114537e-72,4.1869834472810164e-37
52.76381909547739,3.438491538371482e-50,2.3682515729198518e-57,2.9386611296691387e-72,5.525766408464781e-30,1.7421453633552187e-69,4.885778602665951e-77,6.263038558973911e-53,4.9173204206295125e-70,1.8521922386852274e-35,3.478399515875384e-42,7.992059498708184e-62,1.557863570797278e-86,2.5538737670169754e-37,1.9718055083459084e-40,5.741254863043372e-44,1.0235972005270183e-57,4.129513758359776e-53,4.5664962615163134e-61,3.3776655191677e-70,2.650833408734488e-36
53.015075376884425,3.1984903541968108e-49,4.384556996848565e-56,8.642432959188907e-71,2.4026244235695162e-29,6.507398638734137e-68,1.8140458007898624e-75,1.033973347684295e-51,1.8287983315897379e-68,1.2058668636111968e-34,2.0524397728935481e-41,2.9464013372752533e-60,1.1687010600413646e-84,2.4153628943170647e-36,1.737124038724355e-39,5.3488070203456276e-43,1.5975334622022263e-56,8.122789498694622e-52,7.623463878379166e-60,1.5649407256109897e-68,1.6569497285704337e-35
53.266331658291456,2.95746012696092e-48,7.921658506723047e-55,2.527947389587733e-69,1.0389453608700638e-28,2.3577321919622723e-66,6.609479053162314e-74,1.6615962956419722e-50,6.647154855417798e-67,7.77560952689331e-34,1.1948983417099459e-40,1.0524609521093521e-58,8.634708159865287e-83,2.258562244919918e-35,1.500594648371014e-38,4.889495878029467e-42,2.46962223031296e-55,1.5822934051940105e-50,1.2492295338635507e-58,7.075469454487407e-67,1.0223984371422445e-34
