,0,1,2,3,4,5,6,7,8,9
50.0,1.0103538193057286e-47,4.174765423680754e-43,4.740095506332433e-79,1.990491197031872e-38,1.48897668801336e-70,9.780359046695393e-46,8.852553845193792e-27,1.6541964349431202e-56,1.0707076283128583e-13,0.05106767569985088
50.505050505050505,8.543209390286237e-47,1.8929379156389454e-41,7.618667796321656e-78,5.344387857197567e-37,1.1671350405958553e-68,8.270281315450076e-45,1.1623296748434181e-26,1.084705632437809e-55,4.708951529797262e-13,0.07018790164429221
51.01010101010101,6.85793975420288e-46,8.345133332116722e-40,1.1182845691693668e-76,1.278129403228134e-35,8.375351533957585e-67,6.698451494969653e-44,1.5500108520106117e-26,7.736820290452387e-55,2.010829647277181e-12,0.08871318097036904
51.515151515151516,5.2193226882910186e-45,3.5453168591536286e-38,1.4969420140288515e-75,2.7209875331897566e-34,5.508564510215556e-65,5.1757571728588774e-43,2.1185944559257848e-26,5.983059124421983e-54,8.319831375242657e-12,0.10443860443278478
52.02020202020202,3.7716552323790935e-44,1.4336911303392227e-36,1.8362608655005132e-74,5.161545285037454e-33,3.32000187909588e-63,3.805391686522124e-42,2.993250765798969e-26,4.977593773831009e-53,3.328318801278945e-11,0.11572805317051642
52.525252525252526,2.5988109072081966e-43,5.446002973109282e-35,2.0844737787893707e-73,8.741887234597269e-32,1.82918700062443e-61,2.6581506262614746e-41,4.407348072990627e-26,4.413850150103579e-52,1.284668538070402e-10,0.12151607368799305
53.03030303030303,1.718837692513633e-42,1.9197475867326657e-33,2.2184565041605942e-72,1.3250473587938694e-30,9.167039116514593e-60,1.762670142524288e-40,6.813600890909569e-26,4.1393904387269326e-51,4.774311217134404e-10,0.12120797955716173
53.535353535353536,1.1007466901817351e-41,6.218135506558908e-32,2.2449827879693155e-71,1.8013811583260627e-29,4.148817518921194e-58,1.1094137774511484e-39,1.1118505364833145e-25,4.0876885740952956e-50,1.7049409561387958e-09,0.11477037363082934
54.04040404040404,6.89435985962173e-41,1.8373101747257593e-30,2.188022758274354e-70,2.200184923884579e-28,1.6815671926999518e-56,6.629958253879799e-39,1.9187906211663967e-25,4.247702995915498e-49,5.839269404885833e-09,0.10296096077557015
54.54545454545455,4.2674296870847836e-40,4.929258523928952e-29,2.0738835709373732e-69,2.4170869792359586e-27,6.053702637045022e-55,3.7656838378353197e-38,3.4966883476943566e-25,4.653945797542241e-48,1.9146823477140656e-08,0.08739224208043014
55.05050505050505,2.6353447804106558e-39,1.197856035861708e-27,1.9224031630378508e-68,2.390323872171472e-26,1.9221354728841307e-53,2.03614225581412e-37,6.704000619048208e-25,5.391970206379283e-47,6.001382826188309e-08,0.07022253377807354
55.55555555555556,1.6360336671101927e-38,2.6350178682381595e-26,1.7450444021859008e-67,2.1296009315793e-25,5.354872707420265e-52,1.050670363646181e-36,1.3470665681525796e-24,6.621651697045744e-46,1.7958053608501247e-07,0.05358038286794136
56.06060606060606,1.0262191738486285e-37,5.250513946626061e-25,1.5471769997360724e-66,1.711283274971108e-24,1.3049711652214004e-50,5.1914992850564616e-36,2.829961926871862e-24,8.627889808383305e-45,5.124890678459063e-07,0.03903278070848818
