,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50.0,3.191783273925795e-38,3.283732875249652e-57,1.1245900509696204e-63,1.2835411291545716e-55,1.529695497183298e-83,5.503228060920691e-34,3.7665462859115775e-45,1.0732769313839663e-60,1.407167788567626e-32,6.2254685121841045e-53,1.0073028262957877e-38,3.8494840823716374e-50,2.0320995706410507e-22,1.2802652288085856e-46,4.786488183913529e-54,9.914117397944853e-41,4.9074398865247996e-33,4.220509846264747e-51,1.9410273475260161e-54,1.5281143213382607e-75,1.7525160293814758e-48,1.3698431399758002e-31,1.3204656950111285e-44,5.755073620832528e-90,4.1569149836041515e-83,2.0051927422787506e-40,4.731152869761516e-35,1.6610818278201385e-62,4.657200047040818e-25,2.3446966250517382e-30
50.25125628140704,1.630661061899947e-37,3.646341624382923e-56,1.8760171063366437e-62,1.367310373577154e-54,4.7426328820357694e-82,2.4005038397827954e-33,2.0970586264298054e-44,1.0197645026832604e-59,4.321836656855245e-32,6.155390609616544e-52,5.888292952496557e-38,2.881924839365217e-49,4.295245731958984e-22,7.066433505496387e-46,4.918012417826383e-53,5.474352401851678e-40,2.1521452530586608e-32,3.566428530198969e-50,2.380526601791347e-53,3.1406293549935733e-74,1.5485760627342973e-47,5.889858990391222e-31,7.18373006037177e-44,4.049268783811184e-88,1.1751549366403776e-81,1.1914261176070833e-39,2.083172073403672e-34,2.3713686754452257e-61,1.1753279507133569e-24,8.288609517191e-30
50.50251256281407,8.248852433848837e-37,3.984388832794501e-55,3.075878597719632e-61,1.4351162089023793e-53,1.4613082274413225e-80,1.037049830968585e-32,1.1564985652348757e-43,9.537233058251672e-59,1.3193763310640266e-31,6.001149425355934e-51,3.4020368543088494e-37,2.1332130620559e-48,9.042621961277324e-22,3.849372574837629e-45,4.945279989536247e-52,2.9924840703063615e-39,9.350730308663057e-32,2.9623813487822163e-49,2.87438393088955e-52,6.328038751126666e-73,1.3491889319686096e-46,2.505932784447409e-30,3.85344351812065e-43,2.7670643042722158e-86,3.2601222527459286e-80,7.004341489170278e-39,9.092205393739658e-34,3.3289234292712554e-60,2.9251289869532104e-24,2.90829921626909e-29
50.753768844221106,4.1315415329908145e-36,4.280198984888133e-54,4.9564116351090876e-60,1.4840388204730594e-52,4.471881629552485e-79,4.4369559973435557e-32,6.317693136595734e-43,8.779676472009761e-58,4.003679420616499e-31,5.768550757537466e-50,1.9425697443277713e-36,1.561226248754535e-47,1.8961515461165543e-21,2.0696624812085653e-44,4.868218891984892e-51,1.6193719190414371e-38,4.024936495905831e-31,2.4196223080105342e-48,3.4165593356804574e-51,1.250346831849619e-71,1.1585568927879613e-45,1.0549324423771267e-29,2.0381379498885957e-42,1.8360156029056113e-84,8.875970685925514e-79,4.074267437598019e-38,3.933589267162868e-33,4.594919065132921e-59,7.182486952704145e-24,1.0128697720129829e-28
51.00502512562814,2.0488283107163097e-35,4.516435463912319e-53,7.848771306678425e-59,1.511863711558358e-51,1.3581125601858317e-77,1.8798868432184216e-31,3.4186955959898764e-42,7.955519904776705e-57,1.2076789393675328e-30,5.4664972256003804e-49,1.0961399490101861e-35,1.1297525070445848e-46,3.9603387056363076e-21,1.0984110573367e-43,4.693366378704455e-50,8.674998124566541e-38,1.7162915148604585e-30,1.944119264663304e-47,3.997101927449302e-50,2.4233777326659535e-70,9.801967127750923e-45,4.3936752148061145e-29,1.0629624226479021e-41,1.182591692087587e-82,2.3717224350659076e-77,2.3447867609091945e-37,1.686829056769456e-32,6.235757275560105e-58,1.7408823501486133e-23,3.501210125300128e-28
51.256281407035175,1.0059044650382802e-34,4.6777045145801724e-52,1.2213402853937645e-57,1.5172440416406134e-50,4.0899011845583943e-76,7.886948797997329e-31,1.8325602113010604e-41,7.095682318940702e-56,3.621224967003128e-30,5.106416977823065e-48,6.11176868209047e-35,8.083317740326798e-46,8.239101380694076e-21,5.754765011520545e-43,4.4330077996759506e-49,4.600336378756854e-37,7.249653614165576e-30,1.5372482351031696e-46,4.602039747143189e-49,4.608565650710916e-69,8.16804110611222e-44,1.8102305760999817e-28,5.466648878910074e-41,7.392148148310726e-81,6.220062382142255e-76,1.3351036311285611e-36,7.169665712008211e-32,8.319572262596839e-57,4.1675355271945166e-23,1.2012233037549808e-27
51.50753768844221,4.889282911314753e-34,4.7521367526211655e-51,1.8673726627329963e-56,1.4998058914900464e-49,1.2202197002575964e-74,3.276298687780357e-30,9.730994453630043e-41,6.2295735206992494e-55,1.0793950780489806e-29,4.701540189905447e-47,3.366936797663471e-34,5.718537052900702e-45,1.7073497550457646e-20,2.976700600012285e-42,4.103771257744376e-48,2.414868604625678e-36,3.0332616795338656e-29,1.1967229057763237e-45,5.213604611331754e-48,8.601921681212503e-68,6.701898932603059e-43,7.377248123831206e-28,2.772476276146243e-40,4.4827958939894516e-79,1.6011023228895227e-74,7.520853314947803e-36,3.0203193191696225e-31,1.0911178232194422e-55,9.860181468061746e-23,4.090338081575528e-27
51.75879396984924,2.352593866265244e-33,4.732728665326368e-50,2.8050271814646975e-55,1.4601853006850705e-48,3.6035587481439186e-73,1.3474675113624802e-29,5.118707451979275e-40,5.38351012823855e-54,3.198410565303439e-29,4.266087246869518e-46,1.8324057732019862e-33,4.000057549449664e-44,3.52424789768607e-20,1.5203425477708254e-41,3.7248981296639592e-47,1.2547703902375013e-35,1.2570068637776323e-28,9.176098591780067e-45,5.810835988429255e-47,1.5763378471220148e-66,5.4128631274116614e-42,2.9734375007937103e-27,1.3867171909986159e-39,2.6364755886627286e-77,4.0452093624358564e-73,4.191204723544011e-35,1.2609856557256342e-30,1.4065485985892852e-54,2.3072551622949305e-22,1.3823283281024682e-26
52.01005025125628,1.1205588418043088e-32,4.618241932309397e-49,4.1390534207787743e-54,1.3999924044938814e-47,1.05253943719384e-71,5.486222487518418e-29,2.6672769584879262e-39,4.5795402735307705e-53,9.421576536917193e-29,3.814437931372972e-45,9.850862264716874e-33,2.7664796304536664e-43,7.246313512964228e-20,7.668440367715484e-41,3.3164351364434013e-46,6.453297610991144e-35,5.15900184994207e-28,6.933066136733581e-44,6.370570180490059e-46,2.837111546379501e-65,4.302148479827446e-41,1.1851523849002058e-26,6.84096219563193e-39,1.503273211915086e-75,1.0031315868544097e-71,2.310498003725841e-34,5.217288132362098e-30,1.7819644797403545e-53,5.343770501578505e-22,4.636220593683849e-26
52.26130653266332,5.282958372508905e-32,4.4135114886245553e-48,5.99877345282608e-53,1.3217051857239255e-46,3.0384003021912366e-70,2.2110854723498575e-28,1.3768252242267072e-38,3.834731756729838e-52,2.7590149192935424e-28,3.360348867329481e-44,5.230410623262257e-32,1.8917307892309437e-42,1.4841546086275715e-19,3.820318495546657e-40,2.897575521012401e-45,3.2849007061019763e-34,2.096792172405382e-27,5.163960678697446e-43,6.868775135139374e-45,5.016930820892937e-64,3.3640133581335685e-40,4.6707368733818124e-26,3.3288759400367013e-38,8.306597769310904e-74,2.441520537937553e-70,1.2599077780994344e-33,2.139083621090785e-29,2.2184441842864623e-52,1.2260297849731257e-21,1.5431201987004015e-25
