,0,1,2,3,4,5,6,7,8,9
50.0,2.691807010145723e-54,1.032995836152514e-62,1.7868982886402803e-76,5.015752748151043e-32,3.1032769285024344e-59,1.5790277117360208e-78,9.979141232761804e-48,4.787739677324693e-77,7.86579986063468e-32,2.376116914874556e-43
50.25125628140704,1.9201622762016306e-53,1.7501567238499444e-61,2.8051110050923226e-75,1.7170021890925462e-31,5.262413924815847e-58,3.110917624763878e-77,8.836078042837472e-47,1.5006317165939423e-75,3.5067667887008905e-31,1.4055877974108308e-42
50.50251256281407,1.3527475041556252e-52,2.939647121747434e-60,4.428707313317457e-74,5.886227767354897e-31,8.74086904623763e-57,6.029834909336832e-76,7.755550237154604e-46,4.627810604222237e-74,1.557271138638686e-30,8.19108605680331e-42
50.753768844221106,9.427100647930197e-52,4.885208957317822e-59,7.039321585174588e-73,2.021643787616378e-30,1.4212340681748374e-55,1.150969321206021e-74,6.74034708915859e-45,1.4020320475832053e-72,6.895190446386845e-30,4.699304969347706e-41
51.00502512562814,6.509017503230858e-51,8.016787296082604e-58,1.1274204459159923e-71,6.958847691502916e-30,2.260583508860439e-54,2.1658709728332758e-73,5.794880469653057e-44,4.1673858017378954e-71,3.046456676003833e-29,2.653061792923773e-40
51.256281407035175,4.45969969757719e-50,1.2967136502578159e-56,1.8207128112905036e-70,2.4015676480443598e-29,3.514846345481432e-53,4.0225704246483395e-72,4.924112617501609e-43,1.214072714893774e-69,1.3438442723163712e-28,1.4736333809688603e-39
51.50753768844221,3.036681246654246e-49,2.063734516011982e-55,2.9663619032707463e-69,8.312555491147307e-29,5.33838913670452e-52,7.381915861847713e-71,4.1325220227957324e-42,3.463775305306486e-68,5.9201699147798765e-28,8.052943732754316e-39
51.75879396984924,2.0578466928547924e-48,3.2263644499824336e-54,4.877446864987797e-68,2.886776318415183e-28,7.914678129549926e-51,1.3399908730972226e-69,3.4232471705602387e-41,9.671879571982479e-67,2.6047265999339206e-27,4.330303196543108e-38
52.01005025125628,1.3897174628370945e-47,4.947104686951617e-53,8.095474240755921e-67,1.0062059636874472e-27,1.1447247753685311e-49,2.4084653651620617e-68,2.7975057731488763e-40,2.6419797593970445e-65,1.1442854188057715e-26,2.292064633245332e-37
52.26130653266332,9.364446728434799e-47,7.429135716632861e-52,1.3564725156959788e-65,3.5213663430371146e-27,1.6142556973120685e-48,4.290211058473679e-67,2.2543304337642496e-39,7.057677206028937e-64,5.017104949015281e-26,1.1947763080267702e-36
52.51256281407035,6.303603600147088e-46,1.0911580777283219e-50,2.294467718024234e-64,1.2377650324798244e-26,2.2184255618487315e-47,7.579852018002598e-66,1.790604876867057e-38,1.843339581882186e-62,2.194002731767984e-25,6.13691221313922e-36
52.76381909547739,4.243541389709385e-45,1.5654919619322846e-49,3.917286938626108e-63,4.3713170535955915e-26,2.970025538267901e-46,1.3291681558384306e-64,1.401340620577117e-37,4.706370795014827e-61,9.56178126064232e-25,3.10813082518118e-35
53.015075376884425,2.859970635013819e-44,2.1913713250565272e-48,6.7483323817538505e-62,1.5515417885936664e-25,3.872631021070179e-45,2.3146216044414736e-63,1.0801096673684249e-36,1.1744832540877214e-59,4.14918347344537e-24,1.5532074055105485e-34
53.266331658291456,1.931674380083528e-43,2.989548655803265e-47,1.1725454773557886e-60,5.536025802330007e-25,4.917199818743725e-44,4.004576866500335e-62,8.195453793068917e-36,2.8644176445480585e-58,1.7909434985307465e-23,7.6635201722823e-34
53.517587939698494,1.3088171662585385e-42,3.970771300745803e-46,2.053667139580398e-59,1.9860388570826895e-24,6.0796330100534515e-43,6.885847805540488e-61,6.11836701135498e-35,6.826544671836734e-57,7.681614861656758e-23,3.735581330485271e-33
53.768844221105525,8.904661188387244e-42,5.12991149506121e-45,3.622947387255225e-58,7.164014433628234e-24,7.320001796041824e-42,1.1770072297265817e-59,4.491629717153975e-34,1.589559814638466e-55,3.27057657771391e-22,1.7998616650238909e-32
54.02010050251256,6.089080664557955e-41,6.440608232507682e-44,6.431294479585749e-57,2.59817214485249e-23,8.583939087653872e-41,2.000147699136357e-58,3.240403658108704e-33,3.615635838954545e-54,1.3808568326598499e-21,8.575031388073732e-32
54.2713567839196,4.188481991636585e-40,7.851846644868284e-43,1.1473899269088208e-55,9.471390616360859e-23,9.806326668695557e-40,3.3789543564802697e-57,2.2957118521610933e-32,8.032024221950498e-53,5.775421089926144e-21,4.0406331493007085e-31
54.52261306532663,2.9004484602058747e-39,9.28795734714524e-42,2.054309870222703e-54,3.469001572377724e-22,1.0916956738297745e-38,5.673403582825075e-56,1.596012179511484e-31,1.7421115480207023e-51,2.3905458285537125e-20,1.8832882253370518e-30
54.77386934673367,2.023259876118744e-38,1.06531433864278e-40,3.6848880762487163e-53,1.2757479991371019e-21,1.1847425740537773e-37,9.463923663424235e-55,1.0879811744904907e-30,3.6880070676149935e-50,9.782897456721736e-20,8.681878883577446e-30
