,0,1,2,3,4,5,6,7,8,9
50.0,3.899422450497775e-57,2.139397175642111e-62,1.1724908093454016e-93,1.3839960610547068e-53,6.56724710057193e-92,4.6221699887992565e-55,7.55342685753493e-37,1.3329332066391828e-68,1.8789088240871839e-16,3.7797397615867937e-19
50.505050505050505,4.460507968529943e-56,1.7759668959210895e-60,2.5892040085381326e-92,4.8299866417414116e-52,1.1133647411959863e-89,4.9266635944272465e-54,1.4002769990506394e-36,1.3830436724883635e-67,9.944506698353528e-16,8.687827892727723e-19
51.01010101010101,4.859504466222345e-55,1.4026700042748878e-58,5.164440424387856e-91,1.4933076649510645e-50,1.6668109040055487e-87,5.026748590452612e-53,2.6205818848203362e-36,1.551022505335493e-66,5.0740433030075355e-15,1.8364423422239757e-18
51.515151515151516,5.0326740654430023e-54,1.0474012445473445e-56,9.311323732344388e-90,4.088951841432865e-49,2.210810354002468e-85,4.884900127535635e-52,5.000209837174292e-36,1.8739842043962878e-65,2.492292785663538e-14,3.608936069811142e-18
52.02020202020202,4.957604544511001e-53,7.326314111950667e-55,1.5277500626790824e-88,9.93085145610451e-48,2.6041924624704608e-83,4.506019661007015e-51,9.817237781357576e-36,2.4209409902222712e-64,1.1767328746951972e-13,6.650874081078431e-18
52.525252525252526,4.65967220002854e-52,4.752591247031503e-53,2.3075225003150072e-87,2.145215493323355e-46,2.725656996714698e-81,3.9372047402977206e-50,2.0012588373689223e-35,3.314152191322382e-63,5.332643504847025e-13,1.1552517944890103e-17
53.03030303030303,4.201403302649436e-51,2.833875254048141e-51,3.2557087560123666e-86,4.135363076765168e-45,2.529888843971011e-79,3.255042094982129e-49,4.2709618473868083e-35,4.7723023601025815e-62,2.316069190127257e-12,1.8935452739654878e-17
53.535353535353536,3.660916028903783e-50,1.5426643392228074e-49,4.3584779226596697e-85,7.137602222088028e-44,2.0737273485715562e-77,2.5454583616233236e-48,9.601819413209198e-35,7.20048722785e-61,9.626896098404947e-12,2.9238327167912967e-17
54.04040404040404,3.109853032483251e-49,7.63220047083107e-48,5.61623805569794e-84,1.1062378598220336e-42,1.492934252870809e-75,1.8836462689617268e-47,2.2805057844727996e-34,1.1381654663569407e-59,3.8244497589158234e-11,4.242323239777751e-17
54.54545454545455,2.599190892901581e-48,3.4237420770789707e-46,7.044680508958385e-83,1.5432528727147455e-41,9.387099398424852e-74,1.3205462593151385e-46,5.718650872461167e-34,1.8893756389641548e-58,1.4503760168589512e-10,5.775293306071294e-17
55.05050505050505,2.15563017708352e-47,1.3918470585372273e-44,8.663396386809185e-82,1.941664414610534e-40,5.130627444277356e-72,8.787439600209365e-46,1.5097802613291464e-33,3.3047082117444376e-57,5.245405091362991e-10,7.382604133836606e-17
55.55555555555556,1.786029576597433e-46,5.131825196237328e-43,1.0475401068358852e-80,2.207232540103578e-39,2.429791991523345e-70,5.565936204981698e-45,4.183603082941317e-33,6.106429464650534e-56,1.8076531129752023e-09,8.893733030051589e-17
56.06060606060606,1.485116268135137e-45,1.7188982571985483e-41,1.244035195991567e-79,2.2715445810376328e-38,9.957223052841075e-69,3.3684477311499444e-44,1.2145889901547549e-32,1.1932648301209708e-54,5.932616588257782e-09,1.0161152772925649e-16
56.56565656565657,1.242478555194971e-44,5.240083659120982e-40,1.4447291241165594e-78,2.1216796002205366e-37,3.532912723297828e-67,1.9574198044207983e-43,3.694391584600495e-32,2.4638767163786482e-53,1.8537293153340674e-08,1.1102410044616526e-16
57.07070707070707,1.0470154579986613e-43,1.4560998246714982e-38,1.6301267115887582e-77,1.804555243877548e-36,1.0880683368607544e-65,1.0989996558680902e-42,1.178599626456109e-31,5.360627872721415e-52,5.5145455989937614e-08,1.1710112169627897e-16
57.57575757575758,8.889241734157333e-43,3.690492689274214e-37,1.7743581297264092e-76,1.4037606200275628e-35,2.9218007141629305e-64,6.006612891724539e-42,3.947610464595848e-31,1.2230027185078482e-50,1.5622508430315603e-07,1.2031361312586495e-16
58.08080808080808,7.601769978437124e-42,8.526667691925891e-36,1.8515308730641975e-75,1.0041783738412553e-34,6.884633325199586e-63,3.223526356681401e-41,1.3880257861252292e-30,2.9060036144806182e-49,4.2169311489837683e-07,1.2135361101107642e-16
58.58585858585859,6.543976718683057e-41,1.7927142518698828e-34,1.8446516374325513e-74,6.6469843708498296e-34,1.4351305044266445e-61,1.7145179772687529e-40,5.115139862575161e-30,7.130826490826679e-48,1.0853625711245779e-06,1.2087888946462932e-16
59.09090909090909,5.666188409717737e-40,3.4204968452150127e-33,1.7527847914172194e-73,4.097361212930115e-33,2.672458792585751e-60,9.12060132559381e-40,1.9700116062520462e-29,1.7897061746157416e-46,2.666235343139122e-06,1.1939317509515723e-16
59.5959595959596,4.9303552232008945e-39,5.902960537784143e-32,1.5922660590817815e-72,2.3654899355541693e-32,4.494409008567895e-59,4.890548579168898e-39,7.900251822420845e-29,4.5477753217960153e-45,6.258162841462735e-06,1.1722239538128936e-16
60.101010101010104,4.3073156762614287e-38,9.182125579891304e-31,1.3911456654461144e-71,1.2844158371167917e-31,6.904560747229711e-58,2.657266342318159e-38,3.2852671023975712e-28,1.1580985617638792e-43,1.4052306830390389e-05,1.1452770541773203e-16
60.60606060606061,3.7738603271532086e-37,1.2831988274811587e-29,1.1800347382365814e-70,6.5745942614033066e-31,9.798083395162213e-57,1.4659470492711263e-37,1.4100429519499374e-27,2.926488566138007e-42,3.0224512879245706e-05,1.1133420664531901e-16
61.111111111111114,3.310286360997023e-36,1.6066304487054771e-28,9.840546702027185e-70,3.174357847376633e-30,1.2973804860675498e-55,8.200201890319238e-37,6.21205179566904e-27,7.27227708361042e-41,6.23528161433158e-05,1.0758409251592555e-16
61.61616161616162,2.8991942689078683e-35,1.7983773278284852e-27,8.189523674588859e-69,1.444710133519792e-29,1.6165995362370695e-54,4.6326882484190814e-36,2.789924195747378e-26,1.7630103204422706e-39,0.00012354202726578805,1.032134297180691e-16
62.121212121212125,2.5257142729533584e-34,1.7970882133042965e-26,6.9154468708167775e-68,6.190539283139382e-29,1.9084665655298942e-53,2.628894773557685e-35,1.26617716630123e-25,4.141692222956358e-38,0.00023539859335410394,9.822392397453712e-17
62.62626262626263,2.1786278312221786e-33,1.60206565627227e-25,6.027324514648352e-67,2.494729145084925e-28,2.1458598494294888e-52,1.4897377614094721e-34,5.744082065276705e-25,9.376901184999809e-37,0.00043189163690125315,9.271288343154609e-17
63.131313131313135,1.8514571091103862e-32,1.2741636730911738e-24,5.511346036771669e-66,9.449879021061448e-28,2.3076004304282405e-51,8.384980775552079e-34,2.5722023483503166e-24,2.0371097713689916e-35,0.0007639309025123728,8.684920400117657e-17
63.63636363636364,1.542720366142051e-31,9.04732251905745e-24,5.362882650160843e-65,3.365627496284072e-27,2.381486348253578e-50,4.666616169739103e-33,1.1218904218565636e-23,4.232303207557985e-34,0.0013041811286024017,8.081852913027128e-17
64.14141414141415,1.2550470323041618e-30,5.743515595859777e-23,5.614053943051474e-64,1.128545935815302e-26,2.365639246740452e-49,2.5593055940831474e-32,4.7049621469716265e-23,8.387106531659106e-33,0.0021512390711874063,7.477547054267266e-17
64.64646464646465,9.934011762715282e-30,3.2666723786367953e-22,6.364320190687758e-63,3.571377179574212e-26,2.2680917136605558e-48,1.3798056896876364e-31,1.8758241388158796e-22,1.5821004231921686e-31,0.003431894788778522,6.88256281142584e-17
65.15151515151516,7.630073284022758e-29,1.6691947622016707e-21,7.827287902667178e-62,1.0702780999456136e-25,2.10492895938782e-47,7.301789731223057e-31,7.045366184472121e-22,2.8361379031737547e-30,0.0052999047920239085,6.303329967193843e-17
65.65656565656566,5.676046052222141e-28,7.689296157973377e-21,1.0414589591892764e-60,3.0499174206901062e-25,1.8972983763967486e-46,3.7897091442604374e-30,2.476432216126293e-21,4.824839226774604e-29,0.00792967777244405,5.743641108289443e-17
66.16161616161617,4.084376024181158e-27,3.206635184814756e-20,1.4891955369093343e-59,8.300288056084408e-25,1.6676899231411358e-45,1.9285501161124578e-29,8.112522998917855e-21,7.779343877150823e-28,0.011503661437660944,5.205573692092628e-17
66.66666666666667,2.840780111000073e-26,1.2164272844984954e-19,2.266904963003463e-58,2.165909429063533e-24,1.436276028220685e-44,9.62387070977284e-29,2.471887197159516e-20,1.1872956987012544e-26,0.016193096855266317,4.689924454554135e-17
