,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
50.0,2.3437413689974235e-55,4.213211423081344e-64,8.361631494008236e-84,1.3164684549513956e-34,1.0696602460813448e-67,5.440703488598921e-86,9.979141232762368e-48,3.8817859801595404e-86,4.7868368045190925e-33,2.3761169148745195e-43,1.257260506026805e-78,2.0636981646337356e-104,3.799694153166552e-49,4.446805197631674e-43,2.7138343674600967e-50,1.2118979729563001e-67,3.3827480920938804e-62,1.1843507926311993e-72,1.430519143793772e-80,7.419497628161742e-41,2.394385813631362e-44,8.266701182084294e-69,4.1507099300647255e-67,5.411105264444764e-54,2.507727870019859e-42,4.000312214199644e-44,1.112531546351293e-56,1.988357655701797e-44,1.7264727468299753e-57,1.4161276151765962e-60,8.309977795952119e-43,6.56118914405384e-65,1.5819101517473624e-55,1.077724376575986e-77,7.655904037884008e-53,2.458076140763327e-80,6.720327719870894e-40,2.0633303696482686e-79,1.221480143187028e-65,8.623640927029394e-68,1.1759159874826964e-49,6.789718260388834e-89,1.8954538569535227e-46,1.6304784009949622e-63,6.478846964090623e-53,5.928197974083838e-44,9.59137794432742e-76,2.3678139364762143e-75,1.9557822339713492e-52,2.4536354359011704e-75
50.25125628140704,1.7706450275045197e-54,7.563384559505014e-63,1.5884727120524584e-82,5.040816869276469e-34,2.9205023851536473e-66,1.4437166848090672e-84,8.836078042836474e-47,1.8642303444513067e-84,2.2500428434810063e-32,1.4055877974107938e-42,7.043916530888322e-77,2.2535865425908288e-102,4.401176178364166e-48,3.680756757280871e-42,2.4483342534720493e-49,1.7970658556164492e-66,5.417548936828037e-61,2.8010938088027292e-71,7.767933646557606e-79,4.8442515879769675e-40,1.3407252330591538e-43,1.4044261966306359e-67,8.776534300954215e-66,6.009438903812425e-53,1.9860232065853402e-41,2.6920306239330047e-43,9.4739330677827e-56,1.2825297797865079e-43,1.6304912388765037e-56,1.7050226961793908e-59,4.027215785465919e-42,1.257004283546739e-63,2.4200582346263453e-54,3.045400071089654e-76,8.656040981458165e-52,6.263842452573848e-79,3.610980154675419e-39,4.839292617095965e-78,1.3712958482863308e-64,1.6719381537568686e-66,1.3381447761082617e-48,1.4195136469359456e-87,1.5129672995649132e-45,2.0593505464713255e-62,9.116651279155685e-52,7.136012025740272e-43,2.195237242855126e-74,3.34201873960409e-74,1.7732555254578223e-51,7.329893570548077e-74
50.50251256281407,1.3205198724455542e-53,1.3456204160733224e-61,3.026197812810557e-81,1.9333291544035142e-33,7.77572133250331e-65,3.7706383128297654e-83,7.755550237154946e-46,8.76155195479254e-83,1.053141743908104e-31,8.191086056803807e-42,3.7950108589447203e-75,2.4690997189027515e-100,5.083528956673183e-47,3.04371598568406e-41,2.1699758654360494e-48,2.6631929287424657e-65,8.659310052072074e-60,6.458154222858737e-70,4.134581270570988e-77,3.131665836539608e-39,7.479431537842795e-43,2.380350405236245e-66,1.86483943736963e-64,6.5543041710341816e-52,1.5431066738914403e-40,1.806197643225148e-42,8.176232282060086e-55,8.328349813618142e-43,1.5565014990127163e-55,2.0520992963130753e-58,1.9333554854712202e-41,2.348185642652084e-62,3.612731256351525e-53,8.128900183406875e-75,9.529654126759296e-51,1.572709445479453e-77,1.905046566944795e-38,1.1337295000937813e-76,1.5602857082848177e-63,3.183365844252425e-65,1.5222889591572572e-47,3.008800284064786e-86,1.2067775123360776e-44,2.6501956997883557e-61,1.253242068709266e-50,8.382745600041078e-42,5.031981658436995e-73,4.7096936046315626e-73,1.6102915269592495e-50,2.1578494040453074e-72
50.753768844221106,9.737696349155668e-53,2.3678382004703265e-60,5.791509174908983e-80,7.430133154955283e-33,2.0171985366410356e-63,9.700348003722956e-82,6.740347089158438e-45,4.0236725126968074e-81,4.913315861049912e-31,4.699304969347815e-41,1.9661616028496818e-73,2.7047826405190936e-98,5.841799387500462e-46,2.510193535103518e-40,1.889707693661687e-47,3.941190465708727e-64,1.3835607725245501e-58,1.4508019153849214e-68,2.154853943275952e-75,2.0044369258947251e-38,4.1621080456754536e-42,4.0235807862388175e-65,3.9714103318791667e-63,7.019288681599075e-51,1.177581623171041e-39,1.2061951795263577e-41,7.157765581162955e-54,5.4414939331285704e-42,1.501861462427615e-54,2.4656430028034314e-57,9.208484107576368e-41,4.279038221577365e-61,5.2537524646413565e-52,2.0565693294614457e-73,1.0219062724073007e-49,3.887147863456014e-76,9.876031014547796e-38,2.6540683465302206e-75,1.79993878182036e-62,5.9497323675898394e-64,1.7273739275604806e-46,6.456936489805255e-85,9.625268413929865e-44,3.4761297314563887e-60,1.6822062097194255e-49,9.599869298236534e-41,1.1539946846427813e-71,6.643692565680474e-72,1.4628371055380668e-49,6.266880530698841e-71
51.00502512562814,7.111601486328618e-52,4.112951389514948e-59,1.1151944460680027e-78,2.8624408297042035e-32,5.094618886022432e-62,2.4603131153166596e-80,5.794880469652707e-44,1.8034568799380716e-79,2.286664187324748e-30,2.653061792923711e-40,9.796045090431432e-72,2.9520156201971658e-96,6.664591264579761e-45,2.0610670617376185e-39,1.6171740717647566e-46,5.819706942816505e-63,2.2126556071911335e-57,3.1748152710327784e-67,1.0983313765430696e-73,1.2701132256049212e-37,2.3129093736437e-41,6.780677954101776e-64,8.453621890808465e-62,7.380609736595254e-50,8.836950340679884e-39,8.004651974239353e-41,6.358973260794579e-53,3.574427847884883e-41,1.464855942985634e-53,2.953915398506541e-56,4.3584827718727706e-40,7.609996133328032e-60,7.430979886686854e-51,4.948223373321675e-72,1.0678226553452575e-48,9.44985754108148e-75,5.03480113340739e-37,6.210142384116816e-74,2.1052240459725085e-61,1.091075494456884e-62,1.950919652159989e-45,1.4007954080890043e-83,7.681857281436845e-43,4.6473687978673645e-59,2.203735759137545e-48,1.0706915497296993e-39,2.644375582774269e-70,9.405635905627904e-71,1.3277609050064539e-48,1.7970830113145674e-69
51.256281407035175,5.1518636759462366e-51,7.039042694091671e-58,2.1636969601364896e-77,1.10581528625783e-31,1.2515646886040296e-60,6.158112790013964e-79,4.924112617501983e-43,7.881991926658821e-78,1.0622183256325768e-29,1.473633380968939e-39,4.6940105358475084e-70,3.1986540447551566e-94,7.533438975894071e-44,1.6819037168506894e-38,1.3602440471689368e-45,8.568906123040435e-62,3.5451989726085276e-56,6.767351001687703e-66,5.467587934746618e-72,7.966757298932168e-37,1.2847349999986269e-40,1.1388992453300533e-62,1.7935847773119064e-60,7.619369356289087e-49,6.52990464100576e-38,5.271007906780548e-40,5.732567297367077e-52,2.358339634146595e-40,1.4445111935250704e-52,3.5247845977146706e-55,2.053352075769613e-39,1.3215430469030397e-58,1.0208110005597382e-49,1.1360876489924716e-70,1.087842690500786e-47,2.2580135662879118e-73,2.525865895227055e-36,1.4526305728013202e-72,2.4957338561007106e-60,1.9622944816969154e-61,2.1885976817250336e-44,3.0670157569564013e-82,6.138129857552172e-42,6.331824669596937e-58,2.8163144905267145e-47,1.1619353238330466e-38,6.045946412280915e-69,1.3398134956821974e-69,1.2027621700698103e-47,5.0914301253637004e-68
51.50753768844221,3.7077158834046094e-50,1.1848422136742942e-56,4.23529030895873e-76,4.285362821949946e-31,2.988164911799544e-59,1.5226197027373701e-77,4.1325220227954016e-42,3.356834708755602e-76,4.926513347768302e-29,8.052943732754264e-39,2.163476368949316e-68,3.429151381267032e-92,8.42294886574034e-43,1.3616995470313796e-37,1.1247580212439114e-44,1.257359351161006e-60,5.69387470588349e-55,1.4052601530474839e-64,2.654598142873534e-70,4.946020863091714e-36,7.138278571824612e-40,1.9059704666282856e-61,3.782476969993892e-59,7.72340626874313e-48,4.757828781811322e-37,3.439363703045094e-39,5.241086557421876e-51,1.5611125534364325e-39,1.440449513934427e-51,4.185310695246122e-54,9.644184677901932e-39,2.242315978923215e-57,1.3602248098751312e-48,2.497353708191078e-69,1.0811562693710785e-46,5.30048516364032e-72,1.247822959674162e-35,3.3972485333116873e-71,2.9971759988747987e-59,3.459733686128121e-60,2.4339862800106488e-43,6.765372847485745e-81,4.912870087813139e-41,8.787842095517529e-57,3.509672906806793e-46,1.2258786454783046e-37,1.3770128619758572e-67,1.925083290708082e-68,1.0862478223215395e-46,1.4256419001697996e-66
51.75879396984924,2.654722220990581e-49,1.9582445693797072e-55,8.373225292510193e-75,1.6664856144541332e-30,6.928135177216496e-58,3.7225652790352437e-76,3.4232471705602627e-41,1.3925190643370378e-74,2.2813687244190284e-28,4.3303031965432557e-38,9.592765264493752e-67,3.625354475333329e-90,9.301859258219466e-42,1.0919233183561735e-36,9.144847941970398e-44,1.8379481613889246e-59,9.167463308891874e-54,2.8433497001820965e-63,1.2552744625888484e-68,3.038792447474634e-35,3.9692780525304415e-39,3.1771246965566197e-60,7.907419735241555e-58,7.6884681150756305e-47,3.423116137934245e-36,2.2210378127789066e-38,4.854768904874532e-50,1.0355222429593829e-38,1.4527709432066668e-50,4.941312579686058e-53,4.5226405005528575e-38,3.719766556968191e-56,1.756100744880146e-47,5.2733225861096474e-68,1.0490474662424018e-45,1.222012351252555e-70,6.074106792750106e-35,7.944296881460937e-70,3.6433044205478105e-58,5.97757568103629e-59,2.6784999821044365e-42,1.5008137133806703e-79,3.940340801686045e-40,1.2416500124902026e-55,4.263412828086384e-45,1.2563886854152803e-36,3.119040383521593e-66,2.7964125345431248e-67,9.771936918592265e-46,3.945424815305455e-65
52.01005025125628,1.8936075954653924e-48,3.172851751728741e-54,1.6735231929572103e-73,6.505376142958573e-30,1.558722878368818e-56,9.007261871754811e-75,2.797505773148936e-40,5.625289926124363e-73,1.0545959063557441e-27,2.2920646332453686e-37,4.092632259848226e-65,3.768062842899451e-88,1.0135004955314042e-40,8.657900041733988e-36,7.31257443340122e-43,2.675804890766238e-58,1.4791071647015695e-52,5.607498807785371e-62,5.773470577617358e-67,1.8473177150208766e-34,2.2094286481811245e-38,5.273597920355507e-59,1.634486049073578e-56,7.518533125125991e-46,2.4352606305072174e-35,1.4178743670805729e-37,4.549789216034165e-49,6.874249260707782e-38,1.4819505955234471e-49,5.796947205024633e-52,2.120448568438271e-37,6.0373520872423146e-55,2.194489318045993e-46,1.0730757697070518e-66,9.94636231610758e-45,2.76694118635597e-69,2.9151465235351496e-34,1.8576363004120177e-68,4.478391385236077e-57,1.01173791300318e-57,2.911568853208039e-41,3.3423227596241643e-78,3.167726945264195e-39,1.7845468673243761e-54,5.046778173410175e-44,1.2499997550398647e-35,7.014167900069085e-65,4.1152675575938074e-66,8.750031618540761e-45,1.0788821705025316e-63
52.26130653266332,1.3473154800283362e-47,5.0323316303283585e-53,3.3839761816499074e-72,2.550030187215374e-29,3.4007851177326276e-55,2.1587206367875568e-73,2.2543304337642473e-39,2.2127047294271385e-71,4.86425654505315e-27,1.194776308026788e-36,1.6804551698382085e-63,3.8392710105225474e-86,1.0885979908505258e-39,6.777146842456323e-35,5.752409427526736e-42,3.8797789220766076e-57,2.389488902479679e-51,1.078250942109046e-60,2.5796337096683605e-65,1.1109425515660915e-33,1.2311755175362277e-37,8.713594447198343e-58,3.332486846215146e-55,7.225248973580412e-45,1.7153111078947404e-34,8.938804087327793e-37,4.306857564440609e-48,4.561116043526654e-37,1.528740768276081e-48,6.75433250500015e-51,9.951138177045065e-37,9.594462304457193e-54,2.6521610383365412e-45,2.1110229958205992e-65,9.223957778418864e-44,6.1544950130683575e-68,1.3802018759905833e-33,4.343532176430577e-67,5.560350592962738e-56,1.6770728698464027e-56,3.121124058421716e-40,7.459380095602146e-77,2.5528499597725037e-38,2.6063708551855015e-53,5.819923021167564e-43,1.2065347820581949e-34,1.5633973763076704e-63,6.146403117059297e-65,7.793744440867087e-44,2.9134890834039513e-62
