,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50.0,2.4126785095439816e-27,3.6279820018092094e-32,2.316570424041769e-45,4.160032601708074e-45,5.214135581669663e-71,4.040815019232939e-25,4.919656730725602e-30,1.980116764024322e-47,5.314698831131248e-26,8.779823869294261e-43,1.6092840686004279e-31,7.969225649811886e-34,0.031057844393211704,2.3966593917777998e-32,9.630677827692676e-45,2.7228152382847274e-29,5.04703492570137e-20,2.473046771098645e-36,2.369787417764042e-43,3.254221277155656e-55,2.7222580979476797e-38,6.31525050308869e-26,5.22363445702562e-30,6.417762549260214e-67,7.887193025408209e-67,9.356041049131362e-30,1.3438125496927917e-28,1.2007328678262672e-47,1.3011085503486501e-21,1.3006354246929804e-19
50.25125628140704,9.707471943134024e-27,1.4512593553347758e-31,2.026081381944139e-44,3.281997071394934e-44,1.0816427762533318e-69,1.1660504500420872e-24,1.5377056272747634e-29,1.0889977214260437e-46,1.273495843289569e-25,7.020442006718336e-42,6.695822670586533e-31,2.7175973976457107e-33,0.03109577294047968,8.839714650276798e-32,7.69960762330943e-44,8.373387306420497e-29,1.429739416342233e-19,1.148784248282774e-35,1.7723981303572178e-42,3.8939529169973274e-54,1.2448483021950078e-37,1.8401370091154244e-25,1.6756152020283106e-29,1.9290557125179986e-65,1.0946840918344375e-65,3.878394004626607e-29,5.1643116323844425e-28,9.955431770353252e-47,2.841502488725433e-21,2.964472437547388e-19
50.50251256281407,3.84458172659426e-26,5.740894465359378e-31,1.7331942332558409e-43,2.5617146122475266e-43,2.2730683719101863e-68,3.327610851200932e-24,4.7557960939867917e-29,5.965320518831797e-46,3.0248163332586786e-25,5.531366663513554e-41,2.763486552820857e-30,9.27862321452648e-33,0.031136440823100606,3.278271974070419e-31,6.042360314904302e-43,2.587158298082504e-28,4.0126422422596264e-19,5.30099167987797e-35,1.307381382757366e-41,4.480108545031326e-53,5.6999259733071256e-37,5.324462406719955e-25,5.355558300721181e-29,5.5689651596643585e-64,1.501819834798892e-64,1.5859794380585153e-28,1.958230367368204e-27,8.154578145856393e-46,6.153956762193982e-21,6.703951929027892e-19
50.753768844221106,1.498379147685692e-25,2.247211892798141e-30,1.450578750704368e-42,1.9776809494816672e-42,4.831289129555725e-67,9.39785412641395e-24,1.4554946478716622e-28,3.253999678171858e-45,7.124176276807184e-25,4.2924492436626535e-40,1.1320212197016228e-29,3.17353079249067e-32,0.03118002976141808,1.2202551072597298e-30,4.656442166009531e-42,8.024717254073568e-28,1.1163041898690924e-18,2.4301910527657483e-34,9.51535524156679e-41,4.956764850589088e-52,2.6135708046494392e-36,1.5313243076508679e-24,1.704712148812732e-28,1.5452362057491045e-62,2.0367849989313184e-63,6.397239147571577e-28,7.326564535515023e-27,6.597328986688984e-45,1.3219683112396045e-20,1.5051804318043976e-18
51.00502512562814,5.745711336348414e-25,8.709967685669391e-30,1.1881473831015325e-41,1.5097864881174167e-41,1.0366656881883766e-65,2.628487476670949e-23,4.408531306588545e-28,1.7672015877670674e-44,1.664476710356774e-24,3.279583081650103e-39,4.6050638558320957e-29,1.0877652099942502e-31,0.031226732365573873,4.550936348502579e-30,3.525270769148581e-41,2.4968683144375176e-27,3.079668138681677e-18,1.1069939637547824e-33,6.836236072413045e-40,5.275231009082553e-51,1.2001293845401326e-35,4.3812556779716125e-24,5.401490094902975e-28,4.124377661407698e-61,2.730926703299056e-62,2.5452413408920096e-27,2.7048401195908844e-26,5.270316612264677e-44,2.8174734441476565e-20,3.3572146617515117e-18
51.256281407035175,2.167510616788398e-24,3.3448108987060447e-29,9.527302126803681e-41,1.1395266902345685e-40,2.241149184582098e-64,7.285306677171143e-23,1.3217984011642528e-27,9.553264236650804e-44,3.859401250514014e-24,2.4661990787011413e-38,1.86130032702286e-28,3.7374749280868364e-31,0.03127675269940735,1.697725010208606e-29,2.623009429337595e-40,7.787902146552144e-27,8.42847214799283e-18,5.011084036165226e-33,4.850200409249774e-39,5.402625514692528e-50,5.518693041511893e-35,1.2480002543679164e-23,1.702969310439904e-27,1.0598391959183377e-59,3.6203761835524755e-61,9.989020769017564e-27,9.854123163801692e-26,4.15589246522741e-43,5.959470335689852e-20,7.442788009360668e-18
51.50753768844221,8.043504954370703e-24,1.2734258064536797e-28,7.4813334126562e-40,8.501782331178239e-40,4.871294247049222e-63,2.0022571502066153e-22,3.924185738989535e-27,5.139643740284562e-43,8.885218345251141e-24,1.8247629257280533e-37,7.478016017249125e-28,1.2874745677442406e-30,0.03133030686479057,6.324896432699569e-29,1.9188953532887485e-39,2.4334744027308377e-26,2.28894117341228e-17,2.2545564809470674e-32,3.3995869688449444e-38,5.327728457613041e-49,2.5410487170775036e-34,3.541824376494924e-23,5.340228983191374e-27,2.6243896417643108e-58,4.745896087966998e-60,3.867326324649455e-26,3.5429954484673192e-25,3.233629871428696e-42,1.2514892430912516e-19,1.640833818046246e-17
51.75879396984924,2.93624197229299e-23,4.809189324598531e-28,5.7549118725362456e-39,6.26911335518826e-39,1.0622526672266607e-61,5.4596847720973485e-22,1.1539938634002533e-26,2.751411542850554e-42,2.0320792456360626e-23,1.3281339035361152e-36,2.987492837384369e-27,4.4466885701473436e-30,0.03138762360665036,2.3496179779633335e-28,1.3807564173835296e-38,7.613017574985763e-26,6.169380380884141e-17,1.0083106226417452e-31,2.354940484086381e-37,5.06261173401992e-48,1.171334166496941e-33,1.0021006518737637e-22,1.6650099575936036e-26,6.267840420939072e-57,6.152409442228221e-59,1.4772201204831141e-25,1.2573325304504867e-24,2.481639501460996e-41,2.6103973615699358e-19,3.5986953536047296e-17
52.01005025125628,1.0544343715766946e-22,1.8025829129794343e-27,4.3380239325392943e-38,4.5682615620820417e-38,2.3189993587244392e-60,1.4778003887144105e-21,3.362890265973653e-26,1.465389552155368e-41,4.6191702887121245e-23,9.506832039879011e-36,1.1871623885880543e-26,1.5397553138270257e-29,0.03144894493791657,8.69112811916513e-28,9.775997429029268e-38,2.3832515529898e-25,1.650493287685705e-16,4.483214640122067e-31,1.6127712780457525e-36,4.639727928492522e-47,5.404188077196996e-33,2.82816752345923e-22,5.159847535739526e-26,1.4451103823317798e-55,7.888141685134216e-58,5.56789343734189e-25,4.404697101355659e-24,1.877676307701507e-40,5.410774474943486e-19,7.854686112238155e-17
52.26130653266332,3.725363389944493e-22,6.708863312797153e-27,3.2054090388451873e-37,3.2891474828824017e-37,5.057978497463924e-59,3.972535569731769e-21,9.716024939131363e-26,7.763671807134626e-41,1.0441647284781357e-22,6.691145139568312e-35,4.6935182191044886e-26,5.344742593455415e-29,0.031514526782871595,3.1967576058405575e-27,6.813004515322989e-37,7.4617279791067395e-25,4.3828921433305643e-16,1.98198488511975e-30,1.0923019204214754e-35,4.105390306454912e-46,2.494717240841286e-32,7.96537079019052e-22,1.5888913161754266e-25,3.219288668327336e-54,1.0003314520971752e-56,2.071196867400931e-24,1.523474379105335e-23,1.4000321379100309e-39,1.1151191309515565e-18,1.706634618375569e-16
52.51256281407035,1.2950862327267859e-21,2.480341339450087e-26,2.322519662427029e-36,2.339592438834262e-36,1.1000760413721268e-57,1.0609750592869087e-20,2.7846120229801582e-25,4.09116172380591e-40,2.3484845176099594e-22,4.6297329998857275e-34,1.8464780609800194e-25,1.8594050876080227e-28,0.03158463963887142,1.1677843702937737e-26,4.675135462406362e-36,2.3353426960563278e-24,1.1552063665274907e-15,8.713129765089349e-30,7.318327510522658e-35,3.51145559362811e-45,1.15181377244371e-31,2.239600984941085e-21,4.8604644530888855e-25,6.935217932812936e-53,1.2548344438453702e-55,7.605283023466489e-24,5.2033193426622756e-23,1.0282191990038152e-38,2.2863682099463457e-18,3.6921443037971073e-16
