,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
50.0,4.658501379188579e-61,6.14232342493725e-72,1.1003283980366378e-88,3.083530652057607e-37,1.5008952634275263e-87,8.100231658513698e-95,4.503992116302896e-67,5.650032240582148e-88,1.376799049534371e-44,4.242352089308288e-51,5.868471339304509e-80,2.2507485581875045e-107,2.4293342184754285e-48,2.2896918539248448e-51,3.565468261452419e-55,2.939131138749951e-71,1.81627152546567e-67,4.428796280230342e-75,3.220848186458538e-89,2.058509851191182e-45,3.248750317574434e-60,1.3951732335808172e-72,6.066099123632096e-76,2.4455502797225188e-64,6.69254277500996e-53,2.439019267981218e-54,1.3473072739438255e-61,6.50968936757906e-53,2.8899783320118086e-66,2.4377382152149772e-70,5.566044355888711e-49,7.146510523845296e-71,1.1373318840563683e-60,2.8891010824848684e-97,2.803838804913534e-57,1.1706915539242366e-81,5.529835827811235e-47,1.3850529534690086e-103,1.6281762668561776e-71,1.0152971517620886e-70,4.4530283035036775e-67,2.165004088657226e-96,9.682059965405577e-50,6.238323071070126e-74,1.1335305382414246e-56,5.689228410963745e-62,5.94261610298907e-85,1.581181579574936e-84,1.4949817661044359e-64,9.192198361941475e-83
50.25125628140704,4.7414111208066137e-60,1.4381471927738358e-70,3.6800814539769073e-87,1.4796043437452147e-36,7.382859471276062e-86,3.654240533226522e-93,9.86154038451716e-66,2.7039571308516575e-86,9.54426998660769e-44,2.9659447073646014e-50,3.05299197845169e-78,1.7555327804151857e-105,2.5247144805801743e-47,2.4734285933256636e-50,4.0843567837498436e-54,5.446459195248187e-70,3.7413762747359713e-66,9.231802152233344e-74,1.9376707881353943e-87,1.4707618071138366e-44,3.3169291232143787e-59,4.636605561709471e-71,1.823426382024574e-74,3.9404822105392246e-63,7.202036351503812e-52,2.1694552324970246e-53,1.7922937861871664e-60,6.729997344415484e-52,3.027785728914937e-65,5.154043561098016e-69,2.9944475615982766e-48,1.310804367182286e-69,1.7694162651418725e-59,2.750447931330503e-95,4.322997369590197e-56,3.206605109544086e-80,3.90921711782175e-46,1.2995107841812272e-101,4.203172880136101e-70,2.0973928042917707e-69,1.2077506511006706e-65,1.230357871664439e-94,8.295007633129401e-49,1.2106652833489979e-72,1.4401498815265015e-55,9.323276235317237e-61,2.0337860756460732e-83,3.6344161888760305e-83,2.2481162160305867e-63,3.790374216280893e-81
50.50251256281407,4.774017139536155e-59,3.3093617133024457e-69,1.2079427080574461e-85,7.020383472643891e-36,3.562184204729145e-84,1.620537806995125e-91,2.108126749930802e-64,1.2668442284527742e-84,6.579878869079709e-43,2.041985759958308e-49,1.540131489649577e-76,1.3818329676207772e-103,2.6170960855241925e-46,2.625341552390007e-49,4.59662245328099e-53,9.917248546084847e-69,7.65503904152104e-65,1.8838694223251273e-72,1.1405300604652478e-85,1.0388946538524448e-43,3.3714173161701244e-58,1.501289724848726e-69,5.424869503345999e-73,6.249520080901453e-62,7.587618221506364e-51,1.9161637335291016e-52,2.384208444533327e-59,7.014789915516362e-51,3.2014218673797454e-64,1.0702115499629675e-67,1.6063563011171428e-47,2.3452100318561812e-68,2.682103635106652e-58,2.5073226515238055e-93,6.5224564324067035e-55,8.648607536415065e-79,2.7042239607516768e-45,1.205616770546561e-99,1.0670396382482952e-68,4.276049060845269e-68,3.215019153590865e-64,6.795908952139484e-93,7.08910773948296e-48,2.3427815742723933e-71,1.7986584613022867e-54,1.4974169060039264e-59,6.92597843245147e-82,8.259427278886444e-82,3.394944447404882e-62,1.5218510154995682e-79
50.753768844221106,4.75862856972953e-58,7.476234394834273e-68,3.8975177054280724e-84,3.2948629680471985e-35,1.6839132506894388e-82,7.063223417665686e-90,4.3976056169727123e-63,5.806277107147422e-83,4.5136634227058105e-42,1.3838545751506093e-48,7.532699122758358e-75,1.0946349298946627e-101,2.70119774300454e-45,2.7375042757972253e-48,5.080452161452215e-52,1.7741413591618168e-67,1.5582496782996218e-63,3.763251993070205e-71,6.565921299516838e-84,7.25360594961352e-43,3.416072229726323e-57,4.7346974051275885e-68,1.5953229665395034e-71,9.750358442269412e-61,7.833008929790334e-50,1.6789720766269793e-51,3.1721521695582177e-58,7.368110455789719e-50,3.4177451294971426e-63,2.17977451198763e-66,8.605562832383544e-47,4.094483743428136e-67,3.9598080395254575e-57,2.1889081556320026e-91,9.627996859836488e-54,2.29381136408188e-77,1.8311344771846833e-44,1.1049634799304818e-97,2.6631506799600958e-67,8.5963441708507e-67,8.390739266108621e-63,3.644689939619841e-91,6.04560714083953e-47,4.525578487489925e-70,2.2082423503097485e-53,2.3560053706919554e-58,2.3460913171854424e-80,1.8603121969786397e-80,5.140312309032675e-61,5.959947295372687e-78
51.00502512562814,4.698758155775671e-57,1.656484684718167e-66,1.2381182810836372e-82,1.5301589367185787e-34,7.789402214797964e-81,3.025426088848963e-88,8.947385679969089e-62,2.6017902121155867e-81,3.0820337092056066e-41,9.229104084702121e-48,3.5714377656262715e-73,8.702337069555113e-100,2.771464967797616e-44,2.8036494091803267e-47,5.512835513522914e-51,3.1181635740284534e-66,3.1600228807025016e-62,7.359957832223878e-70,3.695288991542163e-82,5.005148224188386e-42,3.454596671251278e-56,1.4539389719232153e-66,4.630528146295053e-70,1.495729952443362e-59,7.93155040506371e-49,1.4581904004035477e-50,4.22048592362123e-57,7.792966585161178e-49,3.6859796800868734e-62,4.350166439453811e-65,4.61114077110118e-46,6.978903011741888e-66,5.692313614835839e-56,1.8302371351053416e-89,1.3902042362946686e-52,5.974834273366679e-76,1.2141903169008021e-43,9.994730306135317e-96,6.531550504919959e-66,1.7026696519054016e-65,2.144809091724714e-61,1.8960897471829338e-89,5.1464245477588695e-46,8.734920085499843e-69,2.6649804342094924e-52,3.6297018921915394e-57,7.899920375578314e-79,4.1632784334074626e-79,7.791142611459845e-60,2.2801033716494627e-76
51.256281407035175,4.598765519965688e-56,3.5964230664984637e-65,3.878150025291556e-81,7.034585872126618e-34,3.521527983299736e-79,1.273469288265468e-86,1.7748587352792164e-60,1.1393662040975291e-79,2.09516321707687e-40,6.056330374169874e-47,1.6412811170758533e-71,6.923983330785549e-98,2.8225211639969494e-43,2.819739222898169e-46,5.871373301696074e-50,5.385050473929848e-65,6.390612010557525e-61,1.4095777975449427e-68,2.0320989632345192e-80,3.412696356175951e-41,3.490224113224713e-55,4.34591679458944e-65,1.324517844674236e-68,2.2550838848924677e-58,7.886145952474745e-48,1.2543798094632242e-49,5.612160246319656e-56,8.290752159765509e-48,4.018360947609529e-61,8.498899862152621e-64,2.4751772710613482e-45,1.1619022408492749e-64,7.965239360800643e-55,1.4659354584107464e-87,1.963297807209158e-51,1.5267458053267212e-74,7.887204906213474e-43,8.913513658483576e-94,1.5731101130527766e-64,3.320051723118237e-64,5.364656816136768e-60,9.560332407113718e-88,4.374485449317963e-45,1.6858720294241963e-67,3.161453701332258e-51,5.473145558967791e-56,2.6420780510097333e-77,9.281053851937997e-78,1.1803469966527024e-58,8.532155468656683e-75
51.50753768844221,4.463530649363837e-55,7.645250260509556e-64,1.1995119722115323e-79,3.2028963366885953e-33,1.5540648106596544e-77,5.26733533065335e-85,3.4314821020052856e-59,4.874707502145913e-78,1.4179211273608047e-39,3.910683554053903e-46,7.310148262156257e-70,5.4988590849083726e-96,2.8496521913038085e-42,2.7843663002615154e-45,6.136238444523623e-49,9.141441376630393e-64,1.289577358338832e-59,2.644487543234877e-67,1.091355206051348e-78,2.299005301648112e-40,3.525510615760072e-54,1.2639954215254192e-63,3.727688456772212e-67,3.340467315967248e-57,7.708074578377776e-47,1.0681305929183531e-48,7.451757341440296e-55,8.860513219117302e-47,4.43094710000915e-60,1.6243235225405228e-62,1.332973729180108e-44,1.8906026371170173e-63,1.0846825116499858e-53,1.1249487473844882e-85,2.7116982498359e-50,3.8238055710753955e-73,5.021447537795169e-42,7.829914921442792e-92,3.717765272890579e-63,6.368435643779161e-63,1.3118425277098935e-58,4.6685587906713874e-86,3.7139370381154255e-44,3.2557009169363875e-66,3.686599480666419e-50,8.074189684704174e-55,8.767383489402753e-76,2.06606914141433e-76,1.7848710725039286e-57,3.125935011413999e-73
51.75879396984924,4.2981890148525744e-54,1.59020373490531e-62,3.668594649081736e-78,1.4450030803146158e-32,6.686607470694699e-76,2.1407526437548556e-83,6.46463629882895e-58,2.0373173555029534e-76,9.550489579171812e-39,2.4851838110113e-45,3.1552679831012015e-68,4.348033142389124e-94,2.849255824953969e-41,2.698930000314689e-44,6.292046299395902e-48,1.5262417823418291e-62,2.5969342346785304e-58,4.861709923315315e-66,5.7215727640559435e-77,1.5300014842196675e-39,3.562233045777349e-53,3.5758475852079226e-62,1.0306108238750982e-65,4.860564845631509e-56,7.414982287133398e-46,8.998781685291787e-48,9.867488298394157e-54,9.498106025141582e-46,4.944639430451343e-59,3.035323057224661e-61,7.211878865508118e-44,3.008611577180519e-62,1.4372117531075644e-52,8.273023498434777e-84,3.663249082338579e-49,9.380967631023622e-72,3.1349067366568147e-41,6.768341161509867e-90,8.613934914162814e-62,1.200878403716948e-61,3.1336827322676545e-57,2.206600376679297e-84,3.150254524178978e-43,6.294052902663263e-65,4.2258699566234596e-49,1.1649314053396383e-53,2.8833476505543694e-74,4.603602758288785e-75,2.6905631231363797e-56,1.1220447758070506e-71
52.01005025125628,4.1079411386150014e-53,3.234419371607038e-61,1.1108896755671884e-76,6.463302780799322e-32,2.8019382159833008e-74,8.548081025889231e-82,1.186505255846708e-56,8.3170407400095135e-75,6.399307237879085e-38,1.5547028433284644e-44,1.3197263909156434e-66,3.415107099885377e-92,2.819186007151538e-40,2.5675600834459247e-43,6.329381494354769e-47,2.5082059062284947e-61,5.217200284019907e-57,8.761785576734638e-65,2.927081278892869e-75,1.0057801428853508e-38,3.6013784234380826e-52,9.835939869029326e-61,2.794917864542495e-64,6.946143221260595e-55,7.02845812106589e-45,7.497733661296015e-47,1.3011065573671721e-52,1.0195325753061023e-44,5.586457398426964e-58,5.543766868673468e-60,3.924674452980965e-43,4.6858663430930355e-61,1.8526707919759017e-51,5.832228208808733e-82,4.840871868813391e-48,2.2536481017692138e-70,1.920230789491026e-40,5.75205999118907e-88,1.9548394977831347e-60,2.2247522491954397e-60,7.3068799547641305e-56,1.0089979631814434e-82,2.6702688404031866e-42,1.2185230107225377e-63,4.761727191391156e-48,1.643264169547561e-52,9.386216310068206e-73,1.0289575373795295e-73,4.0385792184714804e-55,3.947373031623333e-70
52.26130653266332,3.89793059922936e-52,6.429827084946719e-60,3.33453862447169e-75,2.8678455433492596e-31,1.1423052380457804e-72,3.3529573123222894e-80,2.1212545980564345e-55,3.316572857956781e-73,4.262730896968581e-37,9.578150990123362e-44,5.3486806915689876e-65,2.6587943124727304e-90,2.7589365814650316e-39,2.396790322872392e-42,6.2457635237114666e-46,4.061377516899406e-60,1.044811447636406e-55,1.5484800276778987e-63,1.460886404341878e-73,6.530153526550989e-38,3.64320053453069e-51,2.6295654175212504e-59,7.424162563232921e-63,9.749065105460122e-54,6.571611306815848e-44,6.176123804053004e-46,1.705410300517351e-51,1.0939115601763635e-43,6.391111887189115e-57,9.894361220081781e-59,2.150345440513827e-42,7.148779228873242e-60,2.3233085747713736e-50,3.9426699964014665e-80,6.259101937532295e-47,5.301590622102629e-69,1.154736439232182e-39,4.801618378163002e-86,4.341053703958891e-59,4.047188272720679e-59,1.6618939739423105e-54,4.462095754452063e-81,2.2621481746396504e-41,2.362897926357684e-62,5.274471324824581e-47,2.2657485650745584e-51,3.020593947524249e-71,2.311467158871244e-72,6.03011949474878e-54,1.36114502160463e-68
