,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
50.0,8.359925451457705e-40,9.684834374035145e-45,4.959882894137065e-49,1.9563852102663255e-45,2.5430015004559437e-45,5.996426930922308e-49,2.2859785902018436e-65,1.1384879428838538e-61,1.3200478707712796e-65,4.754639277256015e-59,1.2473031508682383e-47,1.0574303217578313e-62,3.691616753109443e-57,1.1909389441148478e-78,4.26889129225543e-93,1.4741407253032237e-39,9.882281548787214e-52,1.458048191041266e-67,8.65395297993969e-54,3.510767115985686e-67,8.051955699261124e-39,1.2322274134562498e-60,1.2295923831258341e-55,3.7835584056621026e-46,3.701505710723543e-55,4.6551728914331945e-76,2.517309566638663e-71,1.2281503064562382e-50,5.341855523296894e-73,4.152361135052529e-45,2.8513828597548287e-42,1.6126994342497072e-45,1.746576970025212e-50,2.0663917042236263e-73,2.3819621234472586e-74,5.790398235518388e-70,7.158588256811461e-38,1.092618625238749e-80,9.840577268343988e-31,1.961969638106926e-58,9.663028882386458e-41,9.16127299384176e-68,1.631589340794344e-53,1.2560696576258904e-60,6.921203270949303e-84,3.948297970065151e-47,6.006219225588859e-46,3.8291904179252425e-64,3.731279560494331e-52,6.996202143307962e-57,9.838107683893564e-46,1.2557140745449085e-58,3.9372601742054964e-49,1.4487395452787317e-92,4.070262761611626e-36,1.7009392733155157e-57,1.4704652651856885e-60,1.8093521363838063e-61,2.286790523857447e-56,5.538859780841873e-53,2.3157981233254846e-77,5.9384891278954005e-40,4.317363468274511e-92,4.250037992915527e-66,7.776468455403344e-67,8.991415930351074e-57,5.913330007158358e-56,6.099666247505798e-39,9.481237512511117e-61,1.2979680829459634e-52,6.579201214584881e-50,1.71404658569025e-61,8.171617411428176e-61,1.0371730693995445e-95,1.1044170131676744e-35,1.2419808279316881e-85,9.712748616377102e-51,8.157758702640744e-57,3.3449044355935365e-77,7.182602648033635e-66,1.978613605387589e-52,3.008261469950127e-65,1.1812621920114971e-60,1.157323862047658e-44,1.7230013903324875e-60,9.081293773578133e-66,1.8594747592231625e-78,3.073434654497993e-49,1.557414366705412e-51,4.636359445229809e-53,1.5670947348355063e-53,3.3783459158168436e-59,1.3567634211749562e-36,6.5350306257569345e-56,1.7941049304316122e-67,5.167226996991385e-67,7.346118354038096e-54,6.567981670585587e-46,1.8957837234583753e-48,1.2320694167696801e-52
50.25125628140704,5.452746032579986e-39,9.655698432804965e-44,5.2042393828919526e-48,1.5984884222376806e-44,2.3101916898622645e-44,5.13438404594255e-48,4.8544140081240644e-64,1.99365978155793e-60,5.891067377493796e-64,7.517611311455785e-58,1.0251980797045421e-46,1.7571032320623754e-61,6.705337944784789e-56,3.561444016936498e-77,4.0109585341904814e-91,8.542320409390593e-39,8.595978118066724e-51,3.7615698825460094e-66,9.793561969285316e-53,6.730572235114805e-66,5.206182355863242e-38,3.226876730607719e-59,1.9546152316041877e-54,2.6496427124671266e-45,4.335982800762713e-54,1.4167152212520771e-74,7.311016057302109e-70,1.6365419075583043e-49,1.4663906802433331e-71,2.2451997983837803e-44,1.7600022324827862e-41,1.1086076903176658e-44,2.4119907406404817e-49,7.162236056604662e-72,1.0132664121199829e-72,1.8168029299993146e-68,3.957273018752479e-37,3.518819333056171e-79,3.7945280684689006e-30,3.886187123050955e-57,5.774066462265625e-40,3.401009557266309e-66,1.883914935460175e-52,2.582366815980626e-59,3.3824366803434185e-82,3.655561452759676e-46,4.35635146689234e-45,1.1120477115551253e-62,6.228628324733731e-51,8.373061479142188e-56,9.555679846213849e-45,1.8060281082405415e-57,5.1761885949648926e-48,1.0999217251667014e-90,2.1106615669149126e-35,3.530946817808797e-56,1.6130375404659905e-59,3.825956914778677e-60,2.7683436702232e-55,6.633912249620408e-52,6.499753491932029e-76,4.6602646923503906e-39,3.1514771307460673e-90,9.86691892667567e-65,2.435239097474685e-65,1.7344235228569993e-55,9.957766706454381e-55,4.5879608924045896e-38,1.3845326846466504e-59,1.2660910796406421e-51,9.090673232815499e-49,2.655269125103015e-60,1.5206319849664418e-59,1.0864677028674276e-93,6.507855401448293e-35,4.232456089573278e-84,1.0883506375649955e-49,1.0675260303820908e-55,1.2278753204763973e-75,1.486491502165878e-64,1.3817201137522307e-51,5.4006696157599606e-64,1.6746059716108383e-59,1.0173289496757242e-43,2.3830319416391824e-59,2.058623970714766e-64,1.2030470257895589e-76,3.292565362730515e-48,1.7369940416706192e-50,7.995531599789414e-52,2.346803612667156e-52,3.696638241594145e-58,6.282114523295528e-36,9.08964939743201e-55,4.799850707585124e-66,1.372949637445645e-65,8.533663612608887e-53,4.751791373358968e-45,2.309262086753263e-47,1.0916936650152344e-51
50.50251256281407,3.508209017488762e-38,9.445247560299593e-43,5.567523758195535e-47,1.2869233159679746e-43,2.0555063135113817e-43,4.333393964381598e-47,1.0073097157360128e-62,3.4157507604899925e-59,2.5533358929818745e-62,1.1824032701017393e-56,8.330728150047381e-46,2.94240853387195e-60,1.19077817823097e-54,1.0604366110375047e-75,3.6409852130308825e-89,4.932349185613634e-38,7.4051696059003e-50,9.483448585107847e-65,1.1071038526567378e-51,1.2819894632316434e-64,3.3182836553274303e-37,8.176683809111733e-58,3.0388614808025656e-53,1.8295430134031999e-44,5.124425455079074e-53,4.260597933419774e-73,2.068017870068185e-68,2.1360316562145435e-48,3.947883831679781e-70,1.2041699446313438e-43,1.1117123090181424e-40,7.569574247246231e-44,3.2801618836651846e-48,2.433150604709118e-70,4.178487605568393e-71,5.560511197707201e-67,2.1626159952546378e-36,1.1156444824714864e-77,1.470402558146758e-29,7.578849225401003e-56,3.413360725132958e-39,1.2161399326846021e-64,2.1281533600665e-51,5.0884267276108735e-58,1.6148848540102675e-80,3.3419762407240796e-45,3.10747161716191e-44,3.1774870797671345e-61,1.0145420567986635e-49,1.0026147358403976e-54,9.27734013496177e-44,2.604973869125825e-56,6.634016801233794e-47,8.188423892978969e-89,1.089241345139601e-34,7.173219466740266e-55,1.787283131527147e-58,7.895618877529273e-59,3.31696236622922e-54,7.818557920950949e-51,1.7963616536368077e-74,3.5853647046920475e-38,2.2300797322918587e-88,2.246642410023336e-63,7.461602191983068e-64,3.2907595899070077e-54,1.6574585288687404e-53,3.4100419163377633e-37,2.037911098523947e-58,1.2126278175892723e-50,1.2294323751186238e-47,4.125523154026843e-59,2.763120347375132e-58,1.0905467190264424e-91,3.8043145300850482e-34,1.4283283306092027e-82,1.1964202250873544e-48,1.391615549201395e-54,4.3840909870063334e-74,3.0275878805158997e-63,9.640052012219888e-51,9.522319734311903e-63,2.323286414681444e-58,8.809971947537876e-43,3.2606488135812144e-58,4.6631465726774487e-63,7.521468895745348e-75,3.4716764320949534e-47,1.8905244241747428e-49,1.3671884428606234e-50,3.4307469603559596e-51,3.9478035333922023e-57,2.870663667341782e-35,1.2443604011860203e-53,1.2463948900915402e-64,3.564879535755795e-64,9.779323729381312e-52,3.399543622700273e-44,2.7880731907079867e-46,9.602752830750282e-51
50.753768844221106,2.224394109406564e-37,9.062168634220809e-42,6.054487765354906e-46,1.0226323669624174e-42,1.7912130234371195e-42,3.60513863407376e-46,2.0416792477049074e-61,5.726015817722913e-58,1.0740203737247674e-60,1.846418483684626e-55,6.698021413471129e-45,4.951626283336211e-59,2.0668775810856437e-53,3.1438805988112542e-74,3.194057709988316e-87,2.836416113057065e-37,6.325294700241504e-49,2.340896173791202e-63,1.2504228080713183e-50,2.4229070426725426e-63,2.0847334338864872e-36,2.0047229548942723e-56,4.618966187191929e-52,1.244698559365579e-43,6.092649803851981e-52,1.2669520904639229e-71,5.695506570419296e-67,2.730969519724893e-47,1.043118405387125e-68,6.40911963547149e-43,7.1660776231749095e-40,5.13244901067227e-43,4.390456995050361e-47,8.095880342393226e-69,1.6709362321063798e-69,1.6600167515542028e-65,1.1681976888831616e-35,3.482935159055134e-76,5.717531708163839e-29,1.4539042153400965e-54,1.9949098191121884e-38,4.1879070926502733e-63,2.3500342783254805e-50,9.608547102489226e-57,7.53317932952071e-79,3.0138933367802447e-44,2.182720679738398e-43,8.916554821440738e-60,1.6118274417606388e-48,1.199905278443819e-53,8.999777137152847e-43,3.764795478806498e-55,8.290344897048323e-46,5.97491341448906e-87,5.592975977184967e-34,1.425090127744246e-53,1.9983888968498342e-57,1.5903010614986205e-57,3.934503359114387e-53,9.067413856746154e-50,4.8954975166540006e-73,2.7049170691925673e-37,1.5282850685137766e-86,5.0144294838898146e-62,2.236068692399252e-62,6.1322916132018765e-53,2.723935667121594e-52,2.507386376150687e-36,3.024232357255923e-57,1.1404456875676675e-49,1.6270899047019135e-46,6.425915727108828e-58,4.9062452221526416e-57,1.0499733386967481e-89,2.2059486200635e-33,4.773300922574149e-81,1.2901350315390914e-47,1.805402606799029e-53,1.52190883864865e-72,6.0634968896629535e-62,6.723585825347117e-50,1.6485551923950165e-61,3.154099457810034e-57,7.52270028384096e-42,4.41145328533002e-57,1.0544718247219594e-61,4.545238394349051e-73,3.601101926150171e-46,2.009553366229232e-48,2.312456302434731e-49,4.893998381637641e-50,4.116292134336264e-56,1.296949773027055e-34,1.675814612868048e-52,3.1415519394641543e-63,9.042532374593082e-63,1.1060667661552396e-50,2.4048933938079604e-43,3.334488331625911e-45,8.380069893369944e-50
51.00502512562814,1.3887957469903935e-36,8.525167323448428e-41,6.671148673772438e-45,8.033572861753827e-42,1.5287276687224047e-41,2.9566119930421426e-45,4.040466271086742e-60,9.391894493495195e-57,4.38126313184688e-59,2.857146030725613e-54,5.332816205592249e-44,8.350809765922413e-58,3.505434323848681e-52,9.27779505170242e-73,2.7083591686470114e-85,1.6239133463614753e-36,5.3623033096858235e-48,5.667464883331896e-62,1.4109226130782053e-49,4.537605175662797e-62,1.2909099893165142e-35,4.755663175226259e-55,6.861686166878876e-51,8.338662113224958e-43,7.267042963712056e-51,3.727724929358582e-70,1.5265797790833865e-65,3.420473186149537e-46,2.7071020583531896e-67,3.3870941486490825e-42,4.7005622733971085e-39,3.455060458886769e-42,5.7803655079461625e-46,2.6363338128323306e-67,6.48188040618864e-68,4.8335843827699355e-64,6.236617802939017e-35,1.0710320240481488e-74,2.227651471737869e-28,2.7410398236958464e-53,1.151999475107347e-37,1.3886125013140076e-61,2.534999148335434e-49,1.738775617735383e-55,3.4339359574644256e-77,2.6786627076494093e-43,1.5115956944499554e-42,2.4527598284079885e-58,2.4967495502481593e-47,1.4336333866400077e-52,8.719616454356296e-42,5.445775675074512e-54,1.0103534083795646e-44,4.271286513441467e-85,2.8563543355032164e-33,2.766736604169051e-52,2.2524427030604022e-56,3.126282633293864e-56,4.620359063910919e-52,1.0346705464443152e-48,1.3171020145297285e-71,2.0016224291807626e-36,1.0133764263120285e-84,1.0964952002807405e-60,6.550475138850395e-61,1.1209150690099328e-51,4.4154091642920807e-51,1.8256367913536593e-35,4.523173396143946e-56,1.053296368558235e-48,2.1068461435052112e-45,1.0029076972573782e-56,8.519030671112712e-56,9.707141843293297e-88,1.268607109012034e-32,1.579306903165278e-79,1.3644781355928646e-46,2.3287774625285064e-52,5.135206725737326e-71,1.1930045322130284e-60,4.6902275591317456e-49,2.802344307306943e-60,4.189843912903384e-56,6.338742303818772e-41,5.899104404718599e-56,2.3776175672646537e-60,2.655412456877808e-71,3.673153180010525e-45,2.087860782998528e-47,3.860087866557002e-48,6.810561943310641e-49,4.192057632203173e-55,5.8037543983237415e-34,2.219217834120331e-51,7.686269972159785e-62,2.240026611174795e-61,1.2351240588272544e-49,1.682115141116313e-42,3.947356508241844e-44,7.251210570913923e-49
51.256281407035175,8.532020346108883e-36,7.861396131956948e-40,7.422908503934614e-44,6.248243213302798e-41,1.2778255849622294e-40,2.390489023785434e-44,7.803802359092246e-59,1.5072235856611965e-55,1.7320767238301518e-57,4.372736181251957e-53,4.20792933293838e-43,1.4076017883755856e-56,5.80742897259153e-51,2.723802710163513e-71,2.2200646068238486e-83,9.253806642955494e-36,4.515029134330787e-47,1.3479644483888567e-60,1.5898142773872437e-48,8.409459828839654e-61,7.87797123634749e-35,1.0915993348806278e-53,9.96018753454962e-50,5.4983260299586486e-42,8.672384524919436e-50,1.0859937980921035e-68,3.979919556978142e-64,4.197163286926231e-45,6.90655407125292e-66,1.7784772104318663e-41,3.1288314968730397e-38,2.3089380606972103e-41,7.480723637211483e-45,8.395042233603981e-66,2.4401052719751387e-66,1.3725747176493706e-62,3.2902030383151645e-34,3.245574491282181e-73,8.685024285868552e-28,5.073741163211844e-52,6.569888442498189e-37,4.432922395243387e-60,2.669819664803774e-48,3.015789492624022e-54,1.5297649961627388e-75,2.3441897784155654e-42,1.0333123519828683e-41,6.601742297702479e-57,3.769509773803355e-46,1.708053434979865e-51,8.433457848994317e-41,7.8743462001711945e-53,1.2010093915510438e-43,2.9898662228119186e-83,1.450134696982995e-32,5.245543114633977e-51,2.556397996390645e-55,5.9983168954387306e-55,5.370649335229964e-51,1.1614978463085675e-47,3.501501912276849e-70,1.4531921796514925e-35,6.4963161975982835e-83,2.3477001475694482e-59,1.874641704701545e-59,2.0074341278005787e-50,7.052344222111104e-50,1.317168866141797e-34,6.811947284933765e-55,9.554730051423276e-48,2.668628723376516e-44,1.5675090286653276e-55,1.4475526202452485e-54,8.627309380579465e-86,7.234223859194972e-32,5.170912657244004e-78,1.4151952892572376e-45,2.983941565021979e-51,1.6838581259527513e-69,2.303720119367201e-59,3.273399500018842e-48,4.6781126376770835e-59,5.445612073700132e-55,5.274101604043416e-40,7.794811588962376e-55,5.33862028724217e-59,1.4999653733895172e-69,3.68283094569013e-44,2.1219999212291497e-46,6.345925451081196e-47,9.244433294208195e-48,4.171561067912361e-54,2.576894301829586e-33,2.888712155221936e-50,1.825575619192219e-60,5.417478027170845e-60,1.3620738065409803e-48,1.1632462722398959e-41,4.620922582606651e-43,6.218193428170246e-48
51.50753768844221,5.154385750791683e-35,7.104061123727148e-39,8.312368712222061e-43,4.817485462285171e-40,1.0461203435367874e-39,1.9057206564779477e-43,1.4703440429705393e-57,2.3664924491526642e-54,6.63160198503621e-56,6.607114806388035e-52,3.293235562549236e-42,2.3653199883264786e-55,9.395400559424647e-50,7.948813494814846e-70,1.7593252758526283e-81,5.247851384189483e-35,3.777509007732354e-46,3.153787260334132e-59,1.7876401068024304e-47,1.5402257331241747e-59,4.737724703312736e-34,2.4246295353190824e-52,1.4124754495036496e-48,3.567003479073145e-41,1.0328859152735203e-48,3.134747137909176e-67,1.008599003567407e-62,5.046318149121498e-44,1.7338393968588537e-64,9.28463068530131e-41,2.107663170016032e-37,1.5316915632099221e-40,9.509627679640745e-44,2.6119093029386053e-64,8.917703398075e-65,3.800559026580429e-61,1.7150779006136496e-33,9.697032107954215e-72,3.3842744056528876e-27,9.212001143337242e-51,3.6988928718066546e-36,1.3623979756395305e-58,2.7442256611530357e-47,5.014746347338559e-53,6.660486181183122e-74,2.0183844683646211e-41,6.979864520197977e-41,1.7355551092743007e-55,5.544998075177678e-45,2.0267944984270285e-50,8.137871131709327e-40,1.1366472362472369e-51,1.3926717676291011e-42,2.0480766983363787e-81,7.314062366921647e-32,9.705504283989415e-50,2.917951756881255e-54,1.1232193737619968e-53,6.17750070228621e-50,1.2824684321288525e-46,9.203503694009165e-69,1.0353127237999543e-34,4.0233470796751475e-81,4.9189491511264084e-58,5.2373015335701505e-58,3.518631987346151e-49,1.1088478237394113e-48,9.420604347589803e-34,1.0315163615271848e-53,8.514455913122852e-47,3.3059858160708254e-43,2.451838859458738e-54,2.408668284461577e-53,7.379551493440473e-84,4.08977477697558e-31,1.6742241335286438e-76,1.4391881928844984e-44,3.7949860712311324e-50,5.365197740971719e-68,4.361659051121446e-58,2.2860253878367344e-47,7.671805837947652e-58,6.924819188856367e-54,4.335291349671053e-39,1.0176562193470542e-53,1.1920116151039793e-57,8.192292763854765e-68,3.628337951880569e-43,2.111503991125829e-45,1.0255472878682068e-45,1.2238973535185002e-46,4.0579955153061307e-53,1.137114140099664e-32,3.694791107854034e-49,4.209525127837744e-59,1.2787456905799849e-58,1.4835320200438804e-47,7.952682120562734e-41,5.3438010209331264e-42,5.282168029779978e-47
51.75879396984924,3.0603560742027866e-34,6.289517538443448e-38,9.336869903894855e-42,3.685904475656469e-39,8.388321058435088e-39,1.4982737941560777e-42,2.7013314659370638e-56,3.63503077512224e-53,2.4572927078277976e-54,9.839647459591161e-51,2.5582078656894394e-41,3.9528739916277307e-54,1.4839285643117354e-48,2.3033959954815488e-68,1.3478531053355828e-79,2.961638923527415e-34,3.140983836776132e-45,7.26601763644936e-58,2.003969096523381e-46,2.7843230012344625e-58,2.8075402504518257e-33,5.212067657734273e-51,1.9566898315062194e-47,2.2761234385902724e-40,1.2248294604406764e-47,8.970457946161669e-66,2.482852814733756e-61,5.945642879944833e-43,4.2870038852135576e-63,4.822834877105352e-40,1.4331073694032353e-36,1.0086372774195653e-39,1.1865423856282466e-42,7.932650359101963e-63,3.1652071076546513e-63,1.0259539811215878e-59,8.832440367394321e-33,2.8581144612466e-70,1.316727698823044e-26,1.6389431670264415e-49,2.0552621211130425e-35,4.0311745574257993e-57,2.752253788102728e-46,7.997736935759262e-52,2.834360268140489e-72,1.7085874651461735e-40,4.663054089126624e-40,4.449070006316522e-54,7.944831448778886e-44,2.3923045655122583e-49,7.829366230263565e-39,1.6356969427954856e-50,1.5755176599634954e-41,1.3719797721013762e-79,3.66228893981136e-31,1.7513228483850662e-48,3.3452977321943265e-53,2.0525707578612993e-52,7.028539527582207e-49,1.3924654639537252e-45,2.3923003356314403e-67,7.239462103475682e-34,2.4058872608587016e-79,1.0079258715974092e-56,1.4272542133061878e-56,6.030564504184009e-48,1.7147061981471717e-47,6.679819620053529e-33,1.5676438535987919e-52,7.455182532514404e-46,4.0049628472858425e-42,3.83496859670966e-53,3.927223781772076e-52,6.08202843264357e-82,2.291652286832916e-30,5.3556122381385395e-75,1.4348208321712323e-43,4.787271459320606e-49,1.661056687387871e-66,8.088665144929096e-57,1.5974624663589577e-46,1.2365441263741826e-56,8.615492699541258e-53,3.5215095360488653e-38,1.3128178711875674e-52,2.642802648034133e-56,4.3255230878297715e-66,3.511322926868636e-42,2.0587513851897074e-44,1.6265461960883318e-44,1.5805885009098042e-45,3.8607237407169045e-52,4.994568360946917e-32,4.642115678373883e-48,9.424463740993332e-58,2.944929757487935e-57,1.5958190939484818e-46,5.374645995666111e-40,6.098324783077402e-41,4.443020239883579e-46
52.01005025125628,1.784945424336485e-33,5.454225967936182e-37,1.0485909121736638e-40,2.8006203291860217e-38,6.588247439406312e-38,1.161933462937733e-41,4.837235255484828e-55,5.462061395405734e-52,8.806119891242037e-53,1.4420809271217743e-49,1.973741501225451e-40,6.555076516000452e-53,2.287476437840198e-47,6.619611310033883e-67,9.982054957146955e-78,1.663399050494549e-33,2.595447132946155e-44,1.6495425013537785e-56,2.2370813387334734e-45,4.961882286603731e-57,1.6392556279863921e-32,1.0844929679291306e-49,2.6476672711830162e-46,1.4283269818403064e-39,1.4429815665078036e-46,2.5458249051979134e-64,5.932819922437144e-60,6.865786365252736e-42,1.0449221884276084e-61,2.494605015323659e-39,9.811591059308892e-36,6.593629833484846e-39,1.451954639666222e-41,2.349667588875971e-61,1.0914734951756634e-61,2.699590058840887e-58,4.4932682567419934e-32,8.314432314994628e-69,5.111062701021946e-26,2.854441390267841e-48,1.1268324172664937e-34,1.148457822253413e-55,2.6930608910805882e-45,1.224048577083479e-50,1.1789144171675956e-70,1.4210568206567611e-39,3.083202692379339e-39,1.1103968731857735e-52,1.1084118355395604e-42,2.8051788922520794e-48,7.504382160708111e-38,2.343490833461203e-49,1.7389845753287827e-40,8.981344184416833e-78,1.819098372164338e-30,3.080046679386504e-47,3.8467147928799466e-52,3.659947630599294e-51,7.906715447923772e-48,1.4863351693483157e-44,6.148818287936446e-66,4.969166720823983e-33,1.3884345309998406e-77,2.018522568280099e-55,3.790928931663209e-55,1.0097568180897122e-46,2.6055785729775002e-46,4.6945823609475614e-32,2.3858006841274754e-51,6.415438464770924e-45,4.743637766569195e-41,5.9925462815117105e-52,6.277540897893933e-51,4.835041368534944e-80,1.2724136893288063e-29,1.6907904855696958e-73,1.4020977478067137e-42,5.986634626356376e-48,4.997056961493725e-65,1.4678772014995735e-55,1.1167993810507293e-45,1.9600207827394384e-55,1.0487452232951728e-51,2.8268138818113108e-37,1.6738253846791077e-51,5.809822125851052e-55,2.2071688067605656e-64,3.336817437540499e-41,1.96853591120712e-43,2.5282021037603986e-43,1.9915467843677507e-44,3.594049512453067e-51,2.186667401090485e-31,5.727235939120119e-47,2.0488741937279006e-56,6.614974154479397e-56,1.6950584857440327e-45,3.5904316698201413e-39,6.86048845150994e-40,3.6991583097295785e-45
52.26130653266332,1.0222312298773977e-32,4.6319391846783955e-36,1.1738716470565594e-39,2.1141807946124836e-37,5.068583257069715e-37,8.890911993289989e-41,8.439197399997863e-54,8.028267794384794e-51,3.050002924449978e-51,2.0770308633197135e-48,1.5133104253515252e-39,1.0764503839179867e-51,3.440554221944338e-46,1.8840061013084792e-65,7.145214253736246e-76,9.298753488387346e-33,2.1307167992990435e-43,3.691186554387256e-55,2.483677283250835e-44,8.70704725316166e-56,9.429659335909726e-32,2.1846417405408002e-48,3.499419835932422e-45,8.813645516750589e-39,1.6855298274838175e-45,7.16635532823529e-63,1.3751258847642163e-58,7.771646742857161e-41,2.51272350983663e-60,1.2858945843528747e-38,6.747764940883276e-35,4.279280107440149e-38,1.7410376122279654e-40,6.781427743995894e-60,3.657845930616706e-60,6.922815958865884e-57,2.2577636331477845e-31,2.3882075255953705e-67,1.9780643061573025e-25,4.861616649372457e-47,6.0954099220425795e-34,3.150889916665442e-54,2.571042905934892e-44,1.799090380893206e-49,4.792823423781244e-69,1.1605817783798731e-38,2.0185703089195058e-38,2.6943170437631596e-51,1.5052992261029535e-41,3.2634168384149205e-47,7.15935441180375e-37,3.338427152282245e-48,1.8727172941427643e-39,5.741200368779724e-76,8.956236206482369e-30,5.2761873885491506e-46,4.429954431986019e-51,6.366758712571523e-50,8.790538012098396e-47,1.5592645841676292e-43,1.5620454515714654e-64,3.348357334247212e-32,7.730112905675188e-76,3.948201952304457e-54,9.805763966447437e-54,1.6504511867805485e-45,3.887281989409248e-45,3.268426235148153e-31,3.627391393882511e-50,5.427188594127739e-44,5.492554334010644e-40,9.344639599748609e-51,9.84170276350301e-50,3.711167997441914e-78,6.998657278959664e-29,5.261997814921001e-72,1.3426880655200956e-41,7.418472736174441e-47,1.4608660648926503e-63,2.6043672411723147e-54,7.809017888261279e-45,3.057278312712384e-54,1.2491024356474195e-50,2.2420282342365905e-36,2.109890255689105e-50,1.264717349807231e-53,1.0878410860621216e-62,3.1128644457522306e-40,1.8474286785454693e-42,3.846532107038308e-42,2.448992403492434e-43,3.2755402052442004e-50,9.554177364002286e-31,6.93649359596801e-46,4.325700772495042e-55,1.4487726255200348e-54,1.7773279124405006e-44,2.3706522853039775e-38,7.600656344921218e-39,3.0474689653138074e-44
