,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50.0,4.658501379188471e-61,6.142323424937476e-72,1.1003283980367035e-88,3.0835306520576078e-37,1.5008952634275228e-87,8.100231658513715e-95,4.5039921163027284e-67,5.65003224058221e-88,1.376799049534397e-44,4.2423520893082795e-51,5.868471339304419e-80,2.2507485581875347e-107,2.42933421847549e-48,2.2896918539248118e-51,3.5654682614524175e-55,2.939131138749955e-71,1.816271525465667e-67,4.428796280230378e-75,3.2208481864585485e-89,2.0585098511912205e-45
50.25125628140704,4.7414111208065866e-60,1.4381471927737597e-70,3.6800814539770095e-87,1.4796043437452103e-36,7.382859471276235e-86,3.6542405332265473e-93,9.861540384517432e-66,2.7039571308517043e-86,9.544269986607795e-44,2.965944707364576e-50,3.0529919784516846e-78,1.755532780415194e-105,2.5247144805802186e-47,2.473428593325674e-50,4.0843567837500065e-54,5.446459195248231e-70,3.741376274735992e-66,9.231802152233256e-74,1.9376707881353803e-87,1.4707618071138443e-44
50.50251256281407,4.774017139536246e-59,3.309361713302428e-69,1.2079427080574341e-85,7.020383472643877e-36,3.562184204729137e-84,1.6205378069951076e-91,2.1081267499308036e-64,1.2668442284527418e-84,6.5798788690797055e-43,2.0419857599583044e-49,1.5401314896494852e-76,1.381832967620781e-103,2.617096085524256e-46,2.6253415523899485e-49,4.596622453281023e-53,9.917248546085109e-69,7.655039041521003e-65,1.8838694223251103e-72,1.14053006046521e-85,1.0388946538524548e-43
50.753768844221106,4.7586285697294755e-58,7.47623439483433e-68,3.8975177054279943e-84,3.294862968047188e-35,1.683913250689489e-82,7.063223417665577e-90,4.397605616972655e-63,5.806277107147744e-83,4.513663422705803e-42,1.3838545751505716e-48,7.532699122757844e-75,1.0946349298946477e-101,2.7011977430045564e-45,2.7375042757971846e-48,5.0804521614522614e-52,1.7741413591618293e-67,1.5582496782996256e-63,3.763251993070224e-71,6.565921299516813e-84,7.253605949613536e-43
51.00502512562814,4.698758155775617e-57,1.6564846847181388e-66,1.2381182810836668e-82,1.5301589367185524e-34,7.789402214798244e-81,3.025426088849002e-88,8.947385679968997e-62,2.6017902121157187e-81,3.0820337092056025e-41,9.229104084702206e-48,3.5714377656262136e-73,8.702337069554808e-100,2.7714649677976373e-44,2.803649409180302e-47,5.512835513522958e-51,3.1181635740284033e-66,3.16002288070252e-62,7.359957832224087e-70,3.695288991542037e-82,5.005148224188309e-42
51.256281407035175,4.59876551996559e-56,3.59642306649845e-65,3.8781500252915157e-81,7.034585872126583e-34,3.521527983299677e-79,1.273469288265471e-86,1.7748587352792048e-60,1.1393662040975241e-79,2.095163217076866e-40,6.056330374169827e-47,1.6412811170758044e-71,6.923983330785635e-98,2.8225211639969948e-43,2.819739222898159e-46,5.871373301696054e-50,5.385050473929916e-65,6.390612010557529e-61,1.4095777975449688e-68,2.032098963234548e-80,3.4126963561759976e-41
51.50753768844221,4.463530649363845e-55,7.645250260509186e-64,1.1995119722115501e-79,3.202896336688605e-33,1.5540648106597229e-77,5.267335330653093e-85,3.431482102005248e-59,4.874707502145983e-78,1.4179211273608112e-39,3.91068355405394e-46,7.310148262156068e-70,5.498859084908478e-96,2.849652191303832e-42,2.7843663002614824e-45,6.136238444523783e-49,9.141441376630427e-64,1.2895773583388362e-59,2.644487543234829e-67,1.091355206051341e-78,2.2990053016481063e-40
51.75879396984924,4.298189014852522e-54,1.5902037349052704e-62,3.6685946490817907e-78,1.4450030803146073e-32,6.686607470694731e-76,2.1407526437548746e-83,6.464636298828979e-58,2.0373173555030227e-76,9.550489579171707e-39,2.4851838110112748e-45,3.155267983100923e-68,4.348033142389264e-94,2.8492558249539737e-41,2.6989300003146243e-44,6.292046299395897e-48,1.526241782341855e-62,2.5969342346785548e-58,4.861709923315346e-66,5.721572764055849e-77,1.5300014842196518e-39
52.01005025125628,4.1079411386150376e-53,3.2344193716070594e-61,1.1108896755672004e-76,6.463302780799283e-32,2.8019382159834563e-74,8.548081025889416e-82,1.1865052558466996e-56,8.31704074000954e-75,6.399307237879019e-38,1.5547028433284582e-44,1.3197263909156564e-66,3.415107099885357e-92,2.8191860071515327e-40,2.567560083445942e-43,6.329381494354903e-47,2.508205906228477e-61,5.217200284019915e-57,8.761785576734725e-65,2.927081278892776e-75,1.0057801428853529e-38
52.26130653266332,3.89793059922935e-52,6.429827084946609e-60,3.334538624471707e-75,2.8678455433492653e-31,1.142305238045816e-72,3.352957312322283e-80,2.121254598056473e-55,3.316572857956733e-73,4.2627308969685515e-37,9.578150990123219e-44,5.348680691568933e-65,2.6587943124727444e-90,2.758936581465018e-39,2.3967903228723747e-42,6.2457635237116066e-46,4.061377516899575e-60,1.0448114476364267e-55,1.548480027677885e-63,1.46088640434185e-73,6.530153526550949e-38
