,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
50.0,1.4654569221165388e-29,3.659487668593742e-37,2.6104959056102624e-39,2.0020432774167965e-29,5.233152789587995e-36,6.038467766853906e-32,2.66234472837641e-31,1.6063187697591217e-28,2.0055168177390108e-19,7.092431700070135e-41,1.476963621895866e-29,3.5110388608448737e-20,5.2667987494616e-24,3.9586220751844554e-29,1.7570852715551778e-31,7.441580337139371e-54,2.2464171724297544e-26,2.2072151172843164e-29,7.093938012934576e-17,1.3953973205462618e-27,2.39416680745199e-32,2.1042997760702728e-14,3.626577434672283e-39,6.066200269494816e-28,5.30488663047692e-33,4.353212968007249e-34,2.4744165028975103e-26,2.1069061072514604e-31,1.4106866988838918e-30,1.0507267734576692e-24,8.167394648475912e-23,1.7728067657866975e-30,1.7144949955234353e-26,6.675872781845524e-27,1.3581592707520103e-35,1.218574763530934e-26,2.5995218094988833e-33,1.7555460985325997e-34,8.090943126577614e-35,1.775621978805246e-34,4.0470571004920354e-29,2.6035125301714995e-17,1.400103976963311e-29,7.06770540987847e-42,3.8991275582508704e-28,2.436302213771099e-34,1.6894066762095056e-33,1.5702070992199303e-32,1.2965499372201918e-38,4.296992161729487e-25,9.911163733678391e-30,2.3705724364905028e-28,1.476519223561737e-39,4.312572402388975e-16,6.004644097367409e-31,2.099958893235655e-23,2.0618580026065867e-45,1.7155036240245856e-27,5.226189686390585e-36,1.0491902142850513e-16
50.25125628140704,4.9837932534927054e-29,1.0452985568760825e-38,8.862512894414868e-39,4.0622257522693873e-29,2.2315857991159515e-36,1.6896080431181474e-32,1.1962920744834533e-31,3.7952580177700486e-29,3.126151845650655e-21,8.089294928691005e-41,4.839006214939956e-29,5.796220396598079e-20,7.680560073872076e-26,2.4122646077660134e-30,1.266896762241318e-33,6.757673787594167e-54,3.698919658944402e-26,1.1552820658099916e-29,1.881347929991382e-18,4.272347069915577e-27,4.7506096845199555e-32,9.53765192929124e-15,1.2489168826471525e-39,1.3951060797366585e-27,3.0642071655377996e-32,9.925973350073433e-34,4.4903085911440563e-26,5.071043986708731e-33,3.155009611657164e-31,5.881666594587608e-25,2.972172010527857e-23,5.618857604581115e-32,9.448102992840629e-26,1.441600509362488e-26,5.09387564983334e-35,2.0855077211710686e-26,1.1380623908203225e-33,5.905448289240912e-35,1.1090728101661208e-34,3.495015576559321e-34,2.295032815500528e-31,3.9111509635312015e-17,2.4536586115505388e-29,1.7582484340264667e-41,7.992220885216839e-28,1.4372014795022855e-35,4.792888621120201e-34,5.644186900140416e-32,4.968586352625139e-39,6.382130407563902e-25,2.536280226440199e-29,1.8583444684237426e-28,1.7853770485982536e-40,7.176242923345837e-16,2.0992568580957513e-31,2.9109674073366915e-23,5.280210923233484e-45,3.450186673129131e-27,1.384354630773605e-36,1.3744964854502293e-16
50.50251256281407,1.281018781536557e-28,3.042880741431873e-38,3.1260306290330477e-38,9.466243853619504e-29,8.23798238873628e-37,3.273681308960585e-33,3.9048531818559915e-32,7.173615056445463e-29,4.736725926897308e-22,3.130182156356531e-40,1.8670571930120654e-28,1.190573720143403e-20,1.8725370789772934e-26,1.9780283355609885e-30,2.7651320030572065e-33,2.963078381234961e-53,8.780924717992428e-27,1.4657456528610637e-29,3.600894355381359e-19,9.944809307067402e-27,3.8827151223574834e-33,1.7104002593271877e-15,4.793298835661211e-40,5.882451606001634e-30,1.5316273545040878e-32,6.081388335699915e-33,7.58426906828071e-26,1.5044093555301663e-30,7.912224670090974e-32,3.0711195890192965e-24,1.2225934396377627e-23,2.6538116915423303e-32,1.9018993651577097e-25,3.4774086622840676e-26,1.9274774103953657e-34,4.2380528530649664e-26,2.2429710807648827e-33,1.881790465028888e-34,2.3222659583933e-37,7.995288667457447e-34,2.1525729522585255e-29,5.3241836425030177e-17,1.8538777736030342e-29,4.331316268388841e-43,1.1390382876290975e-28,1.4707679948992324e-34,1.8546085203221778e-34,1.5942404484317923e-31,1.7744223906720354e-38,1.6243618504440338e-27,6.966247207730993e-29,1.6738379979928095e-30,9.012944688710006e-41,1.2405934821147474e-15,5.973342687636085e-31,9.816429827494056e-24,1.4807555135929106e-44,9.651388004668658e-27,1.874254234415182e-36,1.8719837375971303e-16
50.753768844221106,3.3603461081210468e-28,1.0357324205912658e-38,1.360363053214286e-38,2.42598729182424e-28,5.634878886365108e-38,1.5576547136532477e-34,2.2393231197983277e-32,2.9859221981568783e-30,6.949629679509503e-23,1.7443303807451308e-39,6.166396226571365e-28,4.0811033502171704e-21,5.0293701310888144e-27,5.492614673898396e-31,6.769081856748477e-33,1.6430898365676296e-53,3.2024621408663183e-27,4.2858438251708706e-29,2.6513573296089566e-19,2.456206065167165e-26,1.0902375132219858e-32,3.903205756283473e-15,1.7266485399641623e-40,4.752739499164471e-31,2.8373985384257965e-33,6.6605714255868e-33,1.3853963309286622e-25,4.2584292499190545e-30,1.251783394339741e-33,5.8190776431372066e-24,2.5471741685202684e-23,5.517170330865555e-31,3.791524092668747e-27,6.32781192626758e-26,1.0291923531783136e-33,7.759397683309742e-26,4.87073182455708e-33,2.094424022989763e-34,4.790874655907741e-35,1.9353257896270236e-33,9.827904066820631e-30,4.762030342898925e-17,1.5725392617208856e-28,1.5940413608619474e-42,7.80402169201283e-29,2.4408090409288796e-36,6.375795997416936e-35,4.701883928459745e-31,2.384283394833953e-38,1.5622801517492932e-25,2.214150728534159e-29,2.366331601808289e-31,4.940186291111573e-40,1.0081244993918137e-16,1.7964305807028333e-30,7.6243960118703e-24,1.0588273990609122e-45,3.2075268682037347e-26,8.780616165285621e-38,2.643146463275018e-16
51.00502512562814,9.26098593087356e-28,4.539762751116114e-39,5.81623825030451e-39,4.434246587593718e-28,4.289081364290142e-38,3.2727223573232703e-34,1.439984880197597e-32,1.0458162986092066e-30,7.105027057175655e-23,7.886037081702504e-39,2.5237480109848453e-28,7.671910109711162e-21,1.0691466968047915e-26,1.5725907536152907e-31,2.241569807901805e-33,1.6478418033023936e-54,4.1366605955132555e-28,8.648827849509616e-29,2.020122700938887e-20,9.117599423679362e-26,5.170987159482257e-32,3.5198188448141474e-15,1.3944306573412507e-40,2.989814000180481e-30,1.178950571252937e-33,3.6388514640409304e-33,2.2496689124905225e-25,9.862597732756534e-30,4.84856245520748e-32,2.8879464079822935e-25,6.689671947961218e-24,6.133457157723754e-31,8.91640601492883e-29,2.017864052680306e-26,1.462743502519118e-33,7.33344111710609e-26,1.3265562573756857e-33,1.9757850600006744e-34,1.0887991835435454e-34,2.3957126538050534e-34,1.0737497876099249e-30,3.149736845165688e-17,3.9674321120036936e-28,2.2536579929324902e-42,2.7591707110665297e-29,6.82035020921787e-36,3.4405909806509763e-34,2.316424074080047e-31,2.831474553915182e-38,2.2495900204033177e-26,8.681882455047089e-29,1.1652996273814514e-31,3.4190185828832154e-39,9.544608867791087e-16,6.584144806220889e-31,1.3014095908381268e-23,6.3915652468184466e-46,8.2698283135005e-26,1.7394821199701434e-37,9.763463556150413e-18
51.256281407035175,4.28040992651447e-28,1.6679816609096256e-40,1.9724007085591368e-38,1.2410285225727118e-27,8.256912135798032e-38,2.4416532675340196e-34,4.916422079840524e-33,2.6954533266449283e-30,1.1094942904637473e-23,4.4603023595065175e-38,1.278872750195487e-29,2.705758993463824e-21,2.462441765863039e-26,1.1067933630009974e-31,2.463144265533152e-33,8.312101391206312e-54,2.020506683571948e-28,2.0646845864202888e-28,7.142176847254154e-20,2.875505896441993e-26,6.1670792985917105e-34,3.2499023267876564e-15,4.657546230111378e-40,1.4096921755613898e-30,2.5354254976853268e-33,1.388026770475079e-32,2.0283709250512383e-25,1.2117191092185557e-29,1.0620637370575207e-31,5.461070001433842e-25,1.3958298185391615e-23,1.886875883504973e-30,3.0368888122663574e-29,1.2532445523741827e-26,1.578997723637374e-32,6.731186099059107e-26,3.2135627468368034e-33,7.702019656589021e-35,2.670326739461742e-34,4.5963274581982094e-35,4.9264519071530246e-30,3.281098056576972e-18,1.7506213008010863e-28,6.826080977656363e-42,8.515757543913888e-29,3.132631561142757e-36,2.910952051656183e-34,4.8207844894841195e-32,3.2492150944646205e-38,4.27283061798473e-27,2.540844938378019e-28,6.058686970972967e-32,1.2065793751314674e-38,1.6683047111196335e-15,2.454847600288478e-31,6.101554769302868e-25,2.1162379747942466e-45,2.138826141629515e-25,1.0001903771470741e-37,1.712537945840652e-18
51.50753768844221,1.1997430619475996e-27,2.780860317299298e-40,8.269493298840025e-39,4.9431106325638584e-29,3.674365095115619e-38,1.6754823368721523e-33,1.9707186898811003e-32,1.3678825862378053e-30,1.2516472946168882e-23,2.055816364792343e-37,1.8951411745765733e-30,7.186514756185924e-23,6.096063884980471e-26,8.1285643479496e-31,1.254022192004105e-33,8.934561953753177e-55,3.078844544899332e-28,1.175450336931866e-28,1.6518447228289332e-20,6.626596768494295e-26,4.7452695369208714e-33,7.216545017019096e-16,2.766913301398723e-39,3.066328340099869e-31,7.324118577987101e-34,7.417872140427503e-32,5.078521701255981e-25,2.7579446067868187e-29,5.28889752731998e-32,2.908195289207356e-25,4.330548799133736e-24,1.591862146931812e-30,3.127411395747046e-29,4.3370114616245095e-26,1.3240561371133405e-32,2.057007998183543e-26,3.0023108694315346e-33,5.865438334884025e-34,8.724705501691859e-35,4.4253311258546764e-36,2.2517012647215623e-29,4.0324075932845134e-18,6.736633993593702e-29,3.1883289177119e-41,8.168022357829444e-30,9.674041636367692e-36,1.8618775882497967e-33,2.5222182044223308e-31,1.594798839689248e-37,9.300990912278923e-27,2.194039881921857e-28,1.3337637640070657e-31,8.346999178137145e-38,3.714596174206014e-16,7.476684554058819e-31,1.1136473389089168e-24,2.3513334511454404e-47,2.7158695157024393e-25,9.461212130981746e-38,2.3381062397821377e-18
51.75879396984924,3.777107167115361e-27,1.1450599238511036e-39,7.446837945836218e-40,1.277435256341533e-28,9.96117522009248e-38,4.418042149417208e-33,7.040008751020834e-32,2.831645216778559e-30,1.5207303768528047e-23,5.524577555565048e-37,6.438622446212944e-30,1.2191127365256068e-22,1.608858988150604e-25,2.237920585415624e-31,4.71904347975645e-34,1.4362415897562326e-54,2.8880145118273276e-29,1.2269967396122485e-27,1.172202504783491e-20,1.7180043803937446e-25,5.376547174627312e-34,1.2598888791583665e-15,4.3858617745945084e-41,8.380774302353193e-31,1.5282167623111236e-33,2.6253732592778266e-31,1.0881333960913961e-24,5.408532983026559e-29,6.422985049912821e-34,2.0182823267677874e-25,2.8170842370959774e-24,9.211010528269866e-32,7.25666527007559e-29,1.4828643671068562e-26,1.5573123890781296e-31,7.216321496152398e-27,7.683129886338636e-33,1.7172419760689513e-32,1.7078702594314566e-34,1.0624087435926218e-35,4.345525215504656e-29,5.743333913044186e-18,1.6342228898893522e-28,1.5867011323724059e-40,8.273169815022026e-30,3.2173767554574465e-35,9.408149670968978e-34,8.084988338477175e-31,5.2246979477971e-38,2.599920546732916e-26,1.0124839925210155e-27,2.988681760030577e-31,5.202371278182667e-38,6.206626774851616e-16,5.873817310855546e-31,2.1592667579881176e-24,7.406820846470952e-47,5.697427504073531e-25,1.565933231476611e-37,3.3515491517719e-18
52.01005025125628,5.848280943411486e-26,3.471249305223736e-39,7.174984645467391e-40,3.446586600396102e-28,1.3530459085743484e-37,1.3557063774323818e-33,3.5324480331648194e-32,1.3153924025607388e-29,2.8131994119100524e-24,1.7997248628417717e-35,6.660766894552751e-29,1.1601348008832612e-22,3.939011792090081e-23,1.2940790306521553e-31,1.3067244550858863e-33,2.514570531302109e-53,4.655502495198092e-28,1.4611076248570525e-25,2.3369757699850086e-20,5.9030268483159105e-25,1.643321913900071e-35,2.4243156788068478e-15,2.826783888355119e-38,2.1361843755665932e-32,3.807595291105024e-33,4.170287277119909e-31,3.0682375720084955e-25,1.124149444134175e-28,1.750268653080508e-34,1.414092842325374e-24,6.384353235267792e-24,2.7737441369810044e-31,1.8116798745256515e-28,3.6967675471245555e-26,1.7171008130203813e-30,1.9930777843328973e-27,2.126815101595728e-33,1.7434651956959998e-32,6.098971421849904e-35,4.264884175455546e-37,3.0159105000958264e-28,8.719570441461439e-19,3.6501895145332675e-27,8.833595130625286e-39,5.2577766316728145e-30,1.1243678088597323e-34,2.2431083459903014e-33,2.6162654054631788e-30,2.186336850853826e-37,4.97180076570634e-25,4.300127771403225e-28,5.0202807025139426e-30,8.963131144964939e-38,9.441254894415778e-15,1.9852226206193826e-30,4.6078194176261607e-23,2.7911711216878818e-46,4.970531018398204e-25,6.447354619379644e-38,6.122354557877057e-18
52.26130653266332,1.8260639288055884e-25,3.266480356385769e-36,5.727447418097395e-41,9.683227165761576e-28,5.5495175457310484e-37,3.8490041124508376e-33,3.086413931671318e-29,1.378652928012454e-28,1.0535115398542195e-22,7.367474981464735e-35,3.041682353867116e-28,1.4105177395773082e-23,3.9124518409982784e-21,3.1065267910343645e-31,6.490741070795982e-35,7.864655268802855e-52,1.2678616352402924e-28,4.548730923649178e-25,3.271813237516589e-19,2.4581365267909887e-25,3.0296098689199027e-32,1.3262841602695907e-14,1.2556442498441133e-39,2.7423518815657318e-30,9.175205833214895e-33,4.199595705754211e-31,8.072675556120292e-25,5.52637999103826e-28,2.2380374344737276e-34,1.2214626585671597e-22,2.022357339287121e-24,9.516646971782062e-30,8.622004208255543e-29,9.617144799880874e-26,1.75541475276065e-28,2.021878329253706e-28,1.61692933535044e-32,1.6368209783052235e-32,1.6858077052262633e-33,3.323282199947174e-36,8.725423811609143e-28,1.4480993968024976e-17,2.989764259832317e-27,1.3292180069136782e-37,2.9894010195590292e-30,6.723841944991106e-35,3.648541459850883e-31,1.8611641888556265e-28,1.663499312320628e-36,9.418717147070807e-25,1.2477451403572338e-27,4.3918174911965614e-29,7.105810666265902e-37,4.961687962993513e-14,3.6557842488170747e-28,2.5921148153366165e-23,4.473100398440584e-47,1.5862589225910083e-21,3.2524375093998543e-37,5.44381828142713e-19
