,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
50.0,3.2310531256087113e-130,2.8268882168056024e-164,6.412292980371412e-176,1.7062629825711243e-76,4.854081366688186e-207,0.0,1.0444291839915825e-202,3.371727218136489e-190,6.249483617134836e-122,1.1623490309963459e-138,1.6831487963985569e-167,0.0,9.915735820417195e-127,5.262871014415994e-150,3.474952370739869e-122,5.740005287891111e-151,2.082751515236087e-174,4.9920937815151234e-129,0.0,6.840371248149714e-124,1.7265791607615846e-182,1.535223750843083e-190,6.517425104045426e-196,1.0686335476627695e-151,1.081449414239466e-139,2.3501417040009504e-103,1.9414620736009124e-149,5.57421744209139e-164,5.1928343133683455e-112,1.1670299595437656e-109,1.1030057035294985e-108,1.5724108740992104e-150,6.50788983758808e-210,0.0,1.6622107989380553e-127,3.5172975819534214e-136,6.185358814356288e-95,0.0,3.3516394410976982e-193,1.0336397937865184e-176,2.147505019233471e-180,6.364826342428569e-196,1.1023290833905942e-153,9.841651320802816e-198,5.805903312952884e-135,6.986555263518177e-167,1.1457450199157143e-190,1.3556300722426914e-202,5.034796721931948e-182,5.966422548378437e-167
50.25125628140704,1.6946417752263917e-126,2.7575467510656538e-160,5.182266007495173e-172,1.5318633045491561e-74,2.4728234236207486e-201,0.0,2.172973098511817e-196,4.692179538752267e-185,4.114449801385114e-118,1.1182362354960047e-136,1.0993761662233175e-163,0.0,6.316933575505853e-123,3.0221739678737466e-145,3.002317135443677e-119,7.641422692091107e-148,1.4628904537514533e-169,2.0838003038681341e-125,0.0,2.8355999272992147e-121,1.3001405815354347e-179,1.7046613835452097e-184,6.3884650729176685e-192,4.561289885295042e-148,1.0344934604644615e-136,1.0209746829055546e-101,5.425849037764175e-145,7.527890573333695e-160,1.7924708919031698e-110,8.763492307253172e-107,3.821713722004987e-106,2.169886770785118e-146,2.960945458081354e-203,0.0,6.573290282049677e-124,1.0343571920550068e-132,3.434890024361954e-92,0.0,6.58720447538806e-189,7.906959425809916e-172,4.303583338314897e-177,1.1472668548094119e-190,1.5146236420779046e-150,1.2250559489948353e-192,1.3706169073768774e-131,1.9986800212216053e-164,3.6285299179635306e-186,2.8487888153144037e-198,2.0116574343828027e-178,4.2673318694733886e-164
50.50251256281407,7.288857024536543e-123,2.476852694263749e-156,4.024828012085253e-168,1.2943900266083538e-72,8.459707223619281e-196,0.0,3.536534366018645e-190,5.3354100496156295e-180,2.1096804408567995e-114,1.0038592336482265e-134,6.410035007615226e-160,0.0,3.391222378216929e-119,1.4793905861118333e-140,2.49407554507563e-116,1.1066305101433469e-144,8.071896540185303e-165,7.92583339503581e-122,0.0,1.3153507516782963e-118,1.1408727825659692e-176,1.3541867790818674e-178,7.646354858571167e-188,2.145270288443068e-144,1.0073235870568903e-133,5.122848518014104e-100,1.390988252898354e-140,1.0804708462978329e-155,6.451471643686394e-109,5.790434880802672e-104,1.3285780879223998e-103,2.4732117882628724e-142,8.935112058623738e-197,0.0,3.0182252580305367e-120,2.512855585661195e-129,1.5564874726500312e-89,0.0,1.1083530042638178e-184,4.594857573048749e-167,8.68936766976677e-174,1.8355030844178496e-185,3.093291842296582e-147,1.1448425165066955e-187,3.18707845551572e-128,5.353285883339956e-162,1.2574735926073893e-181,7.387862979934433e-194,9.308706159405826e-175,2.9552453027784452e-161
50.753768844221106,2.542639022087531e-119,2.073755498530065e-152,2.918434774080563e-164,1.0387167546678622e-70,1.981877881124938e-190,0.0,4.366094143966261e-184,5.26145605526509e-175,8.519817711870263e-111,9.216317247051034e-133,3.603874312887232e-156,0.0,1.5170503637666977e-115,6.0585436203093575e-136,1.9274602908852544e-113,1.687095951968882e-141,3.4789982386862506e-160,2.7171073336595254e-118,0.0,6.146041885224319e-116,1.2454114405471165e-173,7.727152430064352e-173,1.1221130251456304e-183,1.0919423160440505e-140,9.193401662091947e-131,2.8866532447879754e-98,3.1812128402749143e-136,1.6111651361530005e-151,2.5407216521013726e-107,3.4333567395709667e-101,4.6839306904428057e-101,2.3956288064360782e-138,1.787411470988425e-190,0.0,1.45786072786442e-116,5.031735604647262e-126,5.801972147341729e-87,0.0,1.6491199181124245e-180,2.0254874024622528e-162,1.924508417567256e-170,2.5354654315374205e-180,8.125061870296801e-144,8.269030954505377e-183,7.369098951024327e-125,1.3416363964966593e-159,4.708174564870798e-177,2.4256794021741268e-189,5.121971418163536e-171,2.0014958604319537e-158
51.00502512562814,7.07899811095857e-116,1.637507303815513e-148,1.93827008715034e-160,8.012437824388528e-69,3.2613962586676814e-185,3.5613586276367763e-211,3.9732150098281054e-178,4.676746618041349e-170,2.789900428963823e-107,1.0261339563247231e-130,2.120656755988528e-152,0.0,5.602992514733808e-112,2.0372649887643468e-131,1.343406843473088e-110,2.6296282376364012e-138,1.1936225993810056e-155,8.307853355203518e-115,0.0,2.7916341448106715e-113,1.7366725745298e-170,3.1978047490774874e-167,1.8996447368718508e-179,5.797590809004743e-137,7.691006260486127e-128,1.81008754298916e-96,6.284821942593787e-132,2.5488127724236505e-147,1.1425183049447346e-105,1.8494541320652817e-98,1.716006370242007e-98,2.0190205795567548e-134,2.3724340496783205e-184,0.0,6.293354048467788e-113,8.29088692512966e-123,1.785043719633156e-84,0.0,2.2939173265628738e-176,6.806662646539639e-158,4.903232884440677e-167,2.9312142342710645e-175,2.409629453647435e-140,4.7504555562560014e-178,1.68816043743875e-121,3.200702424368085e-157,1.8417518098253144e-172,1.0006097730886068e-184,3.414853827862789e-167,1.325813683403897e-155
51.256281407035175,1.548416459370378e-112,1.2302710645262884e-144,1.1707253642774867e-156,6.018534663041528e-67,3.88326420709699e-180,7.706495161515774e-206,2.6226320327743396e-172,3.802011525160849e-165,7.819583543568436e-104,1.7334048015384127e-128,1.392923378333832e-148,0.0,1.700555178280568e-108,5.539386751268434e-127,8.267516966822486e-108,4.07727396012198e-135,3.378474464923267e-151,2.244382971971532e-111,0.0,1.2333535015820608e-110,3.008253622793113e-167,9.728239741815312e-162,3.5633915177579905e-175,3.0763027927249488e-133,6.02746041195869e-125,1.267332516732752e-94,1.04203653377876e-127,4.433340414644831e-143,5.836731587582947e-104,9.11066452318736e-96,6.742290384091924e-96,1.5016800081078103e-130,2.0966613357389206e-178,0.0,2.203175578515195e-109,1.1181221069134903e-119,4.538080287365348e-82,0.0,3.2735358377035073e-172,1.7584875896347872e-153,1.445308154247857e-163,2.7621247074034353e-170,7.593755439261492e-137,2.236203152430076e-173,3.769064846901295e-118,7.58737002055744e-155,7.199424020531834e-168,5.068868678713827e-180,2.7257391014928185e-163,8.52637894447712e-153
51.50753768844221,2.630916614168964e-109,8.816675986361217e-141,6.48412219014779e-153,4.4559248525172434e-65,3.450036410464702e-175,1.0437536449482314e-200,1.2544696699259283e-166,2.859667029034583e-160,2.0238682159313946e-100,4.9321415854823477e-126,1.0467618681838526e-144,0.0,4.257848098953136e-105,1.2061374683401187e-122,4.46726183679135e-105,6.089456008297868e-132,8.110949461022648e-147,5.316469767200829e-108,7.032750125210891e-202,5.415310223438517e-108,6.126027804877361e-164,2.2125951678535645e-156,7.452202136160072e-171,1.5722453835946642e-129,4.6142380745670113e-122,9.907347966254584e-93,1.4183138410234106e-123,8.6536170309032e-139,3.210709818252217e-102,4.12893871437835e-93,2.909967550144114e-93,9.951655027903089e-127,1.2424305547795006e-172,0.0,6.051240838562823e-106,1.2245651021727618e-116,9.561146815152923e-80,0.0,5.369429019139799e-168,3.522795135578737e-149,4.898929866831795e-160,2.0927037608133364e-165,2.5007181472863466e-133,8.956213234555397e-169,8.006483164742049e-115,1.8989348609815927e-152,2.6890441388856552e-163,3.0102838370405204e-175,2.485254494028762e-159,5.284414431369228e-150
51.75879396984924,3.452902691747025e-106,5.990346908844924e-137,3.357773536385464e-149,3.2845975808031506e-63,2.3524386112860326e-170,1.0478629571409951e-195,4.393960335731418e-161,2.048390321922388e-155,5.169959186566382e-97,2.075973512570502e-123,8.881322297532175e-141,0.0,8.949996285200772e-102,2.0945417618465785e-118,2.1420660246994177e-102,8.476248589267131e-129,1.6440406702110437e-142,1.0983669626234214e-104,6.218980073317589e-196,2.4826424510214484e-105,1.4048363514514966e-160,3.8365106963756356e-151,1.759791380351757e-166,7.587405714987343e-126,3.5504268930234935e-119,8.505495174793109e-91,1.55987822906672e-119,1.8724134469513504e-134,1.7795914941823585e-100,1.7314484656185575e-90,1.3795309703401413e-90,5.968670910247937e-123,4.991317091726361e-167,0.0,1.3035232926100197e-102,1.0826028486386081e-113,1.6821355685041507e-77,0.0,1.0586593802675391e-163,5.507912800135125e-145,1.9036832177415082e-156,1.2738122009672751e-160,8.371041129222588e-130,3.202293869850657e-164,1.5791488072384316e-111,5.332053487303239e-150,9.29354063004362e-159,1.9820745141500764e-170,2.417259415668696e-155,3.149192114402936e-147
52.01005025125628,3.4995907636784175e-103,3.815316534961905e-133,1.656415443191154e-145,2.427040258121734e-61,1.259319701083158e-165,7.904237578199981e-191,1.1447041090539995e-155,1.4721931391819829e-150,1.3147447616004885e-93,1.0430008832351352e-120,8.129110372350413e-137,0.0,1.6369494693715455e-98,2.9018734405754206e-114,9.329985258166834e-100,1.0738445450181558e-125,2.7268101314159484e-138,1.9734900019974563e-101,3.8845575011179593e-190,1.303258949255705e-102,3.599247456866761e-157,5.169631183166885e-146,4.619815133982819e-162,3.446590627346653e-122,2.730596218911931e-116,7.747205132122416e-89,1.3713125795639835e-115,4.298130297419113e-130,9.459534611729566e-99,6.725663311357846e-88,6.975530709376486e-88,3.337459669425009e-119,1.3800526179342461e-161,0.0,2.237203553725405e-99,7.726504585075171e-111,2.5042395409289437e-75,0.0,2.3241465274719513e-159,6.746572189072225e-141,8.504060529899366e-153,6.285626987226097e-156,2.7000587679522406e-126,1.0744710160745837e-159,2.8378694544127267e-108,1.7842710104973197e-147,2.9290154847450785e-154,1.378073282382432e-165,2.337070107691942e-151,1.8090274295950772e-144
52.26130653266332,2.7513377123737934e-100,2.2568693907957093e-129,7.824982615275357e-142,1.8012809477397462e-59,5.383142132536378e-161,4.5821322339244235e-186,2.2508359467318213e-150,1.123437671811488e-145,3.1493452243219584e-90,5.443931414886812e-118,7.455092045977675e-133,0.0,2.741184024061967e-95,3.2176121683414056e-110,3.805608624065377e-97,1.2299589769104304e-122,3.581534251724644e-134,3.0819251543945525e-98,1.6997315149445744e-184,8.673613655829249e-100,1.0572185217263334e-153,5.485777059244971e-141,1.2903593907768854e-157,1.473791398015913e-118,2.0583066705030282e-113,7.169855860769032e-87,9.572555660924938e-112,9.87810055101131e-126,4.699872081781232e-97,2.403218952987544e-85,3.582880304069751e-85,1.8129854168392461e-115,2.6746594729736984e-156,0.0,3.138419401179528e-96,4.49294016806708e-108,3.2111534627459254e-73,0.0,5.100413507341034e-155,6.489623677700809e-137,4.430755695588798e-149,2.5565753230302973e-151,7.952009505873303e-123,3.5060450343309897e-155,4.6062660825067565e-105,7.77727107953295e-145,8.39979115230456e-150,9.75685072061006e-161,2.1219074643888598e-147,1.0062197276074213e-141
