,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50.0,1.2582774186648585e-14,1.7589565480154452e-07,8.568743335251225e-06,6.709966539616177e-13,3.965776924475116e-17,9.552279510956592e-08,3.673233547025539e-08,1.4476029335524354e-07,1.8347055173118478e-11,3.6966568242122205e-06,5.160297403072129e-06,5.222954499143662e-16,7.077769560495735e-10,1.27469970702075e-10,6.104523389513507e-11,3.691412982682327e-05,3.941752194442246e-14,1.7477687634875027e-11,1.909070077805541e-15,2.083461055593887e-12
50.25125628140704,2.365149678032024e-14,2.404472695768482e-07,1.0990350300101751e-05,9.630398731495881e-13,6.985704626808391e-17,1.3087448406789323e-07,4.793745999041398e-08,2.0975331318041628e-07,2.622787015007569e-11,4.676485233994571e-06,7.37369635153485e-06,9.17573447445149e-16,8.361788755399775e-10,1.632966660788917e-10,1.0152468230406685e-10,4.6722515496999156e-05,7.746424228027597e-14,2.9299092359169755e-11,3.3799263397135306e-15,3.637859468754873e-12
50.50251256281407,4.4343588093756e-14,3.278997215520877e-07,1.4076631495961678e-05,1.38342438615353e-12,1.2395798899430952e-16,1.7902431322267652e-07,6.227196082654837e-08,3.0298687784343437e-07,3.7647240381339236e-11,5.890138379371076e-06,1.0499110699178628e-05,1.6103174273487377e-15,9.84762186647142e-10,2.1005571573141955e-10,1.6780849196855796e-10,5.9045185274529633e-05,1.5154099972961592e-13,4.906596988158896e-11,5.9513452419628816e-15,6.308395699556806e-12
50.753768844221106,8.290234975062564e-14,4.46077358822524e-07,1.8002581575696054e-05,1.9901035256949373e-12,2.2155356800281355e-16,2.4448912288418517e-07,8.051623613326756e-08,4.362772379465959e-07,5.4267875777790135e-11,7.3865649315092266e-06,1.4894104988965128e-05,2.8223884597324105e-15,1.1575346774706668e-09,2.711867589926163e-10,2.755592227991185e-10,7.450049493542123e-05,2.9505862342715834e-13,8.20252672272198e-11,1.0418585743825769e-14,1.0864067527815362e-11
51.00502512562814,1.5451066598206482e-13,6.053659754683204e-07,2.2986836251350688e-05,2.868174257684159e-12,3.9875111019775714e-16,3.333330022223475e-07,1.0361765762347759e-07,6.261711115787728e-07,7.856366276922814e-11,9.223611925137733e-06,2.1047827170103155e-05,4.939196587291958e-15,1.3597072756873677e-09,3.512412887855933e-10,4.493891058012755e-10,9.385048586343243e-05,5.717148894707247e-13,1.368033532008094e-10,1.8129457895387408e-14,1.8580715574886252e-11
51.256281407035175,2.870202720499548e-13,8.195104950809594e-07,2.930181688083628e-05,4.143018753511714e-12,7.223496421827448e-16,4.536788512223165e-07,1.327191121720939e-07,8.957415932232502e-07,1.1422398602627084e-10,1.1469553839774977e-05,2.9625528790337223e-05,8.62859597181401e-15,1.598027429130238e-09,4.562604317594703e-10,7.276080265032971e-10,0.00011803140354345112,1.102293315178617e-12,2.2751925584846011e-10,3.1352887750948097e-14,3.155961344542131e-11
51.50753768844221,5.313105604582194e-13,1.1066464061663985e-06,3.7286014531221856e-05,5.9999343585584084e-12,1.3162939364390269e-15,6.16381989973216e-07,1.6919090353543135e-07,1.277022171077117e-06,1.6675997440443143e-10,1.4204957570326736e-05,4.1526452475394875e-05,1.50448547728194e-14,1.8811891261349844e-09,5.942888624456055e-10,1.1692692283273501e-09,0.00014818974156054513,2.114574622704626e-12,3.7717772144684757e-10,5.388422574156233e-14,5.323644863398452e-11
51.75879396984924,9.799309291211127e-13,1.4906282599604059e-06,4.735880034759888e-05,8.713466008856623e-12,2.411037798018515e-15,8.359144819354416e-07,2.1466622022163586e-07,1.814286614080919e-06,2.444118473686893e-10,1.7524988398632343e-05,5.795839261432803e-05,2.6177514070745814e-14,2.2203455304101147e-09,7.760756991358141e-10,1.864503010974941e-09,0.00018572451209111063,4.035762571802199e-12,6.230921976221631e-10,9.203523102853757e-14,8.918853255952297e-11
52.01005025125628,1.8004914245123004e-12,2.0027338713509067e-06,6.0038199878179366e-05,1.2691231076252104e-11,4.4355977776311e-15,1.1315224710627317e-06,2.710804285726336e-07,2.568442161679473e-06,3.595036664007128e-10,2.154229378001574e-05,8.053276498599443e-05,4.5446202640087217e-14,2.6297618859134273e-09,1.0160322949309398e-09,2.949495672574481e-09,0.0002323364400977526,7.662653098109883e-12,1.025513619397456e-09,1.5624826501417682e-13,1.4840581359648331e-10
52.26130653266332,3.295178829150322e-12,2.6838412723949785e-06,7.596212052383587e-05,1.8539360426431685e-11,8.189008834094647e-15,1.5287359287362277e-06,3.407145492603862e-07,3.622877011823848e-06,5.304602590092226e-10,2.6390640182231824e-05,0.00011138451478909537,7.871158758494102e-14,3.1276613724166558e-09,1.333542948110281e-09,4.627948583727651e-09,0.00029008473864837285,1.4473126467157818e-11,1.6813011187023151e-09,2.6372338540578356e-13,2.4527818237338907e-10
