,0,1,2,3,4
50.0,5.337698219498113e-15,1.102071354327454e-09,1.675231310574109e-18,9.402142312369718e-17,2.806486145840172e-14
50.25125628140704,1.3933984941074115e-14,1.2554456278756792e-09,2.4389067042242625e-18,1.6146466440165836e-16,2.6557299962654122e-14
50.50251256281407,3.522776801144322e-14,1.3711436373858313e-09,3.5448010852014984e-18,2.7209740507351237e-16,2.419522653685622e-14
50.753768844221106,8.581915159809334e-14,1.4396477175968627e-09,5.149203958642136e-18,4.533976739765082e-16,2.1351280035922127e-14
51.00502512562814,2.0061461611079244e-13,1.4576547727575515e-09,7.495371906479214e-18,7.537257885203558e-16,1.8376367016568538e-14
51.256281407035175,4.485161363798678e-13,1.4278090538694762e-09,1.0969570056145654e-17,1.2614506336460276e-15,1.5548388207149352e-14
51.50753768844221,9.566696506018145e-13,1.3575830797241343e-09,1.618173733881811e-17,2.143202081764748e-15,1.3047263043177512e-14
51.75879396984924,1.943743780769693e-12,1.2577159695804214e-09,2.4066851774644532e-17,3.722100849879391e-15,1.0954581165812768e-14
52.01005025125628,3.759657625421098e-12,1.140459793182036e-09,3.5990646871511646e-17,6.641230629395574e-15,9.27152871198489e-15
52.26130653266332,6.925503765058525e-12,1.0178260346695016e-09,5.382873199693592e-17,1.2210454988483424e-14,7.945842879116835e-15
52.51256281407035,1.216501490525933e-11,9.000748164401249e-10,7.997843501553714e-17,2.3145510697110322e-14,6.899029475845771e-15
52.76381909547739,2.0419333119507325e-11,7.947269667464516e-10,1.1726765437479005e-16,4.5128375149584854e-14,6.048455655676083e-15
53.015075376884425,3.283926257731391e-11,7.06289481807503e-10,1.687529389951366e-16,9.002003627834028e-14,5.32266736418067e-15
53.266331658291456,5.075039221198804e-11,6.366691564255644e-10,2.3745087235474727e-16,1.822099149234515e-13,4.67026008791121e-15
53.517587939698494,7.558429092111979e-11,5.860202523333497e-10,3.261124025752412e-16,3.704847510997654e-13,4.06288961947175e-15
53.768844221105525,1.0876685555238199e-10,5.536611272220766e-10,4.372081926037648e-16,7.487647483812105e-13,3.4929915361865988e-15
54.02010050251256,1.5156159917276113e-10,5.387498137988209e-10,5.733183741040846e-16,1.4897228220323416e-12,2.967452068806308e-15
