,0,1,2,3,4,5,6
50.0,4.883091485941691e-07,1.2146437850127823e-16,3.9702627766015735e-27,3.7192868954348766e-42,5.167374109520114e-10,2.3917442631240424e-11,4.941469444703775e-37
50.25125628140704,8.848786791849675e-07,3.4834570626039e-16,7.903902731825128e-27,1.18690139515359e-41,1.3318181600363022e-09,5.633323659525465e-11,8.044545902791527e-37
50.50251256281407,1.5700377266680638e-06,9.888349502864713e-16,1.5501986079634177e-26,3.7420313987512003e-41,3.3543823258162913e-09,1.3021677723145753e-10,1.3352029040511618e-36
50.753768844221106,2.7270465299485867e-06,2.77728441830146e-15,2.995939325946411e-26,1.165419595228499e-40,8.252532972310122e-09,2.9551550117330895e-10,2.2537506929056388e-36
51.00502512562814,4.636097128719949e-06,7.714511935277056e-15,5.705893612733298e-26,3.5850372534012745e-40,1.9824168974104774e-08,6.587171981477775e-10,3.860637197873904e-36
51.256281407035175,7.712931057697828e-06,2.1182533330704097e-14,1.0709813025668294e-25,1.0891930150880755e-39,4.648077976105098e-08,1.4429442920211024e-09,6.700134922552182e-36
51.50753768844221,1.2555531510901534e-05,5.746521295175884e-14,1.981150485587691e-25,3.26804047693154e-39,1.063340637383601e-07,3.108029074598096e-09,1.1766812870166319e-35
51.75879396984924,1.9996646503223246e-05,1.539423095157066e-13,3.61190957288731e-25,9.683241870028986e-39,2.3727652554474291e-07,6.586849130582976e-09,2.089561212402424e-35
52.01005025125628,3.115747101582982e-05,4.070071451148025e-13,6.490103294379891e-25,2.833295223716966e-38,5.162937527897331e-07,1.374385909215403e-08,3.750640105808456e-35
52.26130653266332,4.749504005480393e-05,1.0614612102754487e-12,1.1494363032668304e-24,8.186438434045117e-38,1.0951900693632376e-06,2.8252429083271304e-08,6.803999367662347e-35
52.51256281407035,7.083329779853918e-05,2.72921173649992e-12,2.0066718887515194e-24,2.33578192499627e-37,2.2643247048852963e-06,5.725046129444334e-08,1.2475474308497373e-34
52.76381909547739,0.00010336618074935002,6.914863995455361e-12,3.453699005767882e-24,6.58132677122629e-37,4.562118882574204e-06,1.1442076623231897e-07,2.3121998123247715e-34
53.015075376884425,0.00014762123749265818,1.725590088677905e-11,5.86120849974576e-24,1.8312860735905573e-36,8.955958565536034e-06,2.2563731510205122e-07,4.331857339996103e-34
